word1,word2,SimLex999,SD(SimLex),POS
old,new,1.58,0.41,A
smart,intelligent,9.2,0.67,A
hard,difficult,8.77,1.19,A
happy,cheerful,9.55,2.18,A
hard,easy,0.95,0.93,A
fast,rapid,8.75,1.68,A
happy,glad,9.17,1.59,A
short,long,1.23,1.58,A
stupid,dumb,9.58,1.48,A
weird,strange,8.93,1.3,A
wide,narrow,1.03,0.58,A
bad,awful,8.42,1.74,A
easy,difficult,0.58,0.36,A
bad,terrible,7.78,1.43,A
hard,simple,1.38,1.03,A
smart,dumb,0.55,0.47,A
insane,crazy,9.57,0.92,A
happy,mad,0.95,1.4,A
large,huge,9.47,1.27,A
hard,tough,8.05,1.18,A
new,fresh,6.83,1.2,A
sharp,dull,0.6,1.39,A
quick,rapid,9.7,1.14,A
dumb,foolish,6.67,1.36,A
wonderful,terrific,8.63,1.63,A
strange,odd,9.02,1.04,A
happy,angry,1.28,1.41,A
narrow,broad,1.18,1.18,A
simple,easy,9.4,1.51,A
old,fresh,0.87,1.64,A
apparent,obvious,8.47,1.52,A
inexpensive,cheap,8.72,0.81,A
nice,generous,5.0,1.14,A
weird,normal,0.72,1.15,A
weird,odd,9.2,1.27,A
bad,immoral,7.62,0.98,A
sad,funny,0.95,1.28,A
wonderful,great,8.05,1.05,A
guilty,ashamed,6.38,0.47,A
beautiful,wonderful,6.5,0.85,A
confident,sure,8.27,1.21,A
dumb,dense,7.27,0.43,A
large,big,9.55,0.44,A
nice,cruel,0.67,1.53,A
impatient,anxious,6.03,1.22,A
big,broad,6.73,1.68,A
strong,proud,3.17,1.46,A
unnecessary,necessary,0.63,0.61,A
restless,young,1.6,0.85,A
dumb,intelligent,0.75,1.5,A
bad,great,0.35,1.49,A
difficult,simple,0.87,0.44,A
necessary,important,7.37,1.36,A
bad,terrific,0.65,1.43,A
mad,glad,1.45,1.17,A
honest,guilty,1.18,1.68,A
easy,tough,0.52,1.87,A
easy,flexible,4.1,1.08,A
certain,sure,8.42,1.29,A
essential,necessary,8.97,1.11,A
different,normal,1.08,1.75,A
sly,clever,7.25,1.41,A
