word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
old,new,0.1,2.0,1.0,1.0,0.1,1.0,0.0,0.09,0.0,1.0,1.0,0.0,0.0,0.01,2.0
smart,intelligent,9.5,9.5,9.5,9.5,9.5,9.5,9.0,9.0,9.5,8.0,9.5,9.5,9.0,9.5,8.0
hard,difficult,9.5,9.0,9.5,9.5,9.0,9.0,9.0,9.5,9.5,9.0,9.5,9.5,8.5,9.5,9.0
happy,cheerful,9.5,9.5,9.8,9.5,9.5,9.0,9.7,9.5,9.5,9.5,9.75,9.5,9.5,9.5,9.0
hard,easy,2.5,1.0,1.5,1.0,1.67,2.33,1.58,0.1,1.0,1.0,1.0,1.67,0.21,0.1,1.2
fast,rapid,8.5,9.0,9.5,9.0,9.0,9.0,8.8,9.5,9.0,9.0,9.0,9.0,9.5,9.5,9.5
happy,glad,9.5,9.5,8.7,9.5,9.0,9.0,9.5,9.8,9.5,9.5,9.5,8.5,9.5,9.5,9.0
short,long,0.2,2.0,2.0,1.0,1.0,0.33,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0
stupid,dumb,8.0,9.0,8.5,9.5,9.0,9.0,9.6,9.0,8.5,9.0,9.5,9.75,8.5,9.0,9.5
weird,strange,8.5,8.7,9.0,8.5,8.0,8.5,8.5,9.0,8.0,8.5,8.5,8.5,8.75,8.5,9.0
wide,narrow,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0
bad,awful,8.33,9.0,9.0,9.0,9.5,9.0,8.5,8.5,8.5,9.5,9.0,8.5,8.0,9.0,9.0
easy,difficult,0.1,1.2,0.0,3.26,2.0,1.75,0.0,0.15,1.0,1.0,3.0,1.0,0.1,1.0,1.34
bad,terrible,9.5,8.5,9.0,9.0,9.5,8.5,8.5,9.5,9.0,9.0,9.0,9.5,8.5,8.5,9.0
hard,simple,1.4,1.0,2.5,1.0,1.5,2.0,2.0,1.5,0.11,1.42,1.0,1.2,1.92,2.0,2.0
smart,dumb,2.5,3.22,1.0,2.0,1.0,2.0,0.1,1.0,1.0,1.0,1.5,2.5,1.5,1.0,1.0
insane,crazy,8.5,9.0,8.5,8.0,8.0,8.5,9.0,8.5,8.5,9.0,8.5,8.0,8.5,8.5,8.0
happy,mad,0.16,0.3,2.5,0.1,3.65,2.1,0.13,2.27,2.58,2.56,0.1,2.56,1.2,3.23,2.5
large,huge,8.5,9.0,8.0,9.0,8.5,8.0,8.5,8.5,9.0,9.0,8.0,8.75,8.5,8.92,8.5
hard,tough,8.0,8.0,7.0,6.67,7.5,7.5,9.0,7.0,7.5,7.0,8.0,7.0,8.5,8.0,7.5
new,fresh,8.0,6.5,6.0,7.5,8.0,7.5,6.0,5.25,6.67,5.0,6.0,6.0,5.0,7.5,7.0
sharp,dull,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1,2.0,0.1
quick,rapid,9.0,9.0,9.0,9.0,9.0,9.0,8.5,9.0,9.0,9.0,9.5,9.0,9.0,8.5,8.5
dumb,foolish,7.5,7.5,6.25,6.33,6.33,7.0,8.5,6.23,6.25,8.5,8.0,6.5,7.5,6.0,6.33
wonderful,terrific,8.5,8.8,9.0,8.5,0.85,9.5,8.5,9.75,9.75,7.5,8.5,8.7,8.5,8.5,8.5
strange,odd,8.0,8.5,8.0,8.5,7.0,8.75,8.5,8.5,8.33,8.5,8.0,8.0,7.5,8.5,8.5
happy,angry,1.5,1.2,1.0,0.2,2.0,1.15,2.55,1.0,2.5,1.0,0.1,1.0,1.0,1.25,0.05
narrow,broad,1.0,2.0,1.0,1.78,0.16,0.0,3.33,1.43,2.0,2.33,1.27,0.19,1.0,1.32,0.0
simple,easy,8.0,7.5,8.0,7.5,7.0,7.5,6.5,7.5,6.5,7.0,8.5,8.0,8.5,7.0,8.9
old,fresh,0.1,1.9,2.45,1.22,1.5,2.1,0.0,1.67,1.0,0.1,1.0,2.23,0.1,1.0,2.5
apparent,obvious,8.5,8.5,8.0,9.6,8.5,9.5,8.5,9.0,8.5,8.5,8.5,8.5,8.75,8.5,9.0
inexpensive,cheap,8.5,9.0,9.5,9.0,9.0,9.5,9.0,9.0,9.0,9.0,9.0,9.2,9.5,8.0,9.0
nice,generous,5.67,6.67,5.45,6.5,6.25,7.0,0.56,6.25,7.5,6.25,6.5,7.5,7.5,6.7,3.58
weird,normal,0.11,1.75,1.5,1.29,1.5,1.25,1.0,1.0,1.5,0.12,0.05,0.19,1.0,1.5,1.5
weird,odd,8.5,8.0,8.5,7.0,8.5,8.0,8.0,8.0,7.5,6.5,8.5,8.0,8.5,8.0,7.5
bad,immoral,8.5,8.5,8.33,8.5,8.5,8.5,8.0,7.0,8.0,8.0,8.5,8.5,8.0,8.5,7.5
sad,funny,2.5,2.5,1.5,1.0,1.5,1.5,2.31,1.5,0.15,2.1,2.14,2.0,1.25,0.25,2.83
wonderful,great,8.0,8.0,7.0,8.0,8.5,7.5,8.5,7.5,8.0,8.5,8.5,8.25,7.5,7.5,7.5
guilty,ashamed,7.5,8.5,7.5,7.0,7.5,8.5,6.67,7.5,8.5,7.5,7.0,7.5,8.0,7.5,8.0
beautiful,wonderful,6.5,9.0,0.92,7.5,0.8,0.74,0.67,0.8,8.3,0.85,0.86,7.0,7.5,8.5,0.75
confident,sure,8.5,8.5,8.5,8.5,8.5,6.5,8.5,8.0,8.5,8.5,8.5,8.5,8.5,7.5,8.5
dumb,dense,2.0,4.0,2.0,4.0,3.0,1.0,2.0,0.17,3.0,3.0,2.5,3.0,3.0,3.23,4.0
large,big,9.5,9.0,8.5,9.5,9.0,9.0,9.0,9.5,9.0,9.0,9.0,8.5,9.0,9.0,8.5
nice,cruel,0.1,0.1,1.84,1.0,1.5,0.1,1.2,2.0,1.25,2.0,1.0,1.1,1.26,1.5,1.0
impatient,anxious,7.5,7.5,7.5,6.25,7.5,8.5,7.5,7.0,7.0,6.67,7.5,6.5,7.5,7.5,7.5
big,broad,6.33,5.0,3.0,2.5,4.1,5.0,6.0,3.33,5.0,4.0,2.0,2.5,6.5,4.32,3.0
strong,proud,0.1,0.0,0.1,0.1,2.0,0.2,0.0,0.25,0.27,0.15,0.21,0.2,0.21,0.2,3.0
unnecessary,necessary,6.0,1.0,1.0,6.25,2.0,8.7,3.75,1.0,7.5,0.0,0.1,1.0,8.0,5.0,0.25
restless,young,1.85,2.5,1.87,0.21,1.27,1.56,2.78,0.15,2.0,1.45,0.22,0.12,2.23,1.2,0.11
dumb,intelligent,1.0,1.23,1.0,2.0,1.5,1.2,0.05,1.0,2.5,1.7,1.5,0.01,2.0,0.05,1.0
bad,great,1.0,1.0,0.1,1.5,1.54,1.13,0.25,2.63,2.0,0.1,0.1,0.0,1.0,0.1,0.1
difficult,simple,2.0,1.0,1.0,2.64,0.1,1.0,1.0,1.42,1.0,0.1,0.38,1.0,2.25,1.0,2.11
necessary,important,4.0,6.0,5.75,7.5,3.33,6.0,5.0,5.0,7.0,5.0,6.67,6.0,6.0,6.67,5.0
bad,terrific,1.0,1.0,1.0,0.01,1.43,1.5,1.5,0.1,1.0,0.15,0.2,1.8,1.2,1.0,1.2
mad,glad,2.0,1.0,1.33,1.0,3.33,3.33,0.43,1.67,2.0,1.5,2.5,3.33,0.4,1.0,2.0
honest,guilty,3.2,2.5,0.1,2.7,2.23,2.0,0.25,1.1,2.5,0.0,2.1,1.5,1.0,1.99,2.5
easy,tough,0.2,0.14,1.0,1.0,1.5,1.0,0.1,1.0,2.67,2.0,1.0,1.5,2.0,2.14,0.1
easy,flexible,2.2,1.2,2.29,2.14,2.33,3.78,3.1,0.21,0.07,1.8,0.1,0.23,2.56,3.51,1.8
certain,sure,8.5,9.5,9.5,8.5,7.5,9.0,8.5,8.5,8.5,9.0,9.5,9.5,9.0,9.6,9.0
essential,necessary,8.5,8.0,8.5,8.9,6.67,8.0,8.5,8.5,6.5,8.75,7.5,8.5,8.5,8.5,8.5
different,normal,1.32,1.25,0.2,2.0,3.58,0.25,2.92,1.93,3.8,0.02,1.2,0.09,0.01,1.14,2.0
sly,clever,6.5,6.75,6.75,5.8,5.0,4.2,5.5,6.25,5.75,4.8,6.0,5.11,6.5,6.8,6.43
crucial,important,7.0,8.5,8.5,8.5,6.5,7.0,8.5,9.25,8.0,8.5,8.5,7.0,7.0,8.5,8.0
harsh,cruel,7.5,8.5,7.5,7.5,8.0,8.5,8.5,8.5,6.67,8.5,8.0,8.0,8.5,8.5,8.5
childish,foolish,6.22,6.67,7.5,7.2,7.5,6.5,6.67,6.0,8.0,6.5,7.5,8.0,7.5,6.65,7.5
scarce,rare,8.5,6.0,8.0,8.5,9.0,8.5,8.5,7.5,8.5,8.0,8.0,8.5,8.5,7.5,8.0
friendly,generous,0.38,0.16,3.34,0.36,3.57,5.67,0.47,0.29,4.72,5.22,0.26,0.43,5.0,0.13,5.56
fragile,frigid,1.5,1.0,1.43,0.1,1.0,1.0,0.09,0.25,0.0,0.0,1.0,0.0,0.15,1.0,0.1
long,narrow,2.5,2.0,3.0,2.5,1.0,3.0,2.0,2.0,2.5,2.0,3.5,3.0,3.0,2.0,2.5
big,heavy,3.15,4.12,3.33,4.33,3.43,3.0,5.0,3.0,3.33,4.0,3.2,5.0,5.65,3.23,3.56
