word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
spel,plezier,0.2,2.45,0.25,0.15,3.2,0.12,0.35,0.1,0.1,0.15,0.25,0.2,2.56,3.2,1.2
weekend,week,8.5,7.5,6.5,6.5,0.2,7.5,7.5,8.5,6.0,7.0,8.0,7.0,8.5,8.5,7.0
koppel,paar,8.0,7.5,9.5,9.5,8.5,6.0,6.5,8.0,8.0,8.5,9.0,8.5,8.5,8.75,8.5
vrouw,echtgenote,9.8,8.7,9.5,9.5,9.75,9.5,9.5,9.6,9.5,9.5,9.5,9.5,9.75,9.5,8.75
schaap,vee,5.25,7.5,6.5,6.75,7.5,7.0,7.25,7.5,6.25,6.25,7.2,6.25,7.5,5.65,6.25
portemonnee,tas,6.25,7.5,5.5,1.8,7.5,6.5,6.2,6.25,7.5,6.5,7.5,6.5,6.25,5.0,6.25
dak,kathedraal,0.23,1.2,5.0,0.15,1.5,0.2,0.2,3.2,2.5,0.25,0.15,3.25,3.2,2.5,3.25
boon,koffie,7.2,7.2,7.25,6.2,5.67,8.5,7.25,7.2,6.23,7.2,7.25,6.75,7.5,6.12,7.25
hout,papier,2.77,3.12,2.5,3.12,2.36,2.36,2.33,2.14,2.43,2.56,0.11,0.4,3.21,3.25,2.45
bovenkant,zijkant,6.5,7.0,5.0,4.5,5.0,5.0,8.0,6.5,6.25,6.0,7.5,7.0,5.0,6.0,6.25
misdaad,fraude,6.3,6.25,7.45,7.5,8.5,7.5,6.25,6.75,7.0,8.2,7.24,7.5,6.25,8.2,8.5
pijn,schade,4.2,2.5,3.2,7.5,6.25,7.2,0.52,5.2,2.75,2.55,6.25,5.22,2.65,4.2,0.26
minnaar,partner,8.5,7.5,6.75,7.5,8.5,7.5,5.0,7.5,7.5,8.5,7.5,7.5,7.5,8.5,7.5
avond,schemering,9.0,8.5,8.5,8.5,7.5,8.5,9.3,8.5,8.6,8.5,8.5,8.5,8.5,8.5,8.5
vader,dochter,8.0,6.5,0.2,1.5,8.5,6.5,8.5,0.85,8.5,7.5,1.2,2.5,7.5,6.25,6.5
wijn,likeur,7.2,8.55,8.43,6.75,7.63,7.58,7.5,8.23,8.7,6.54,6.25,7.21,7.89,7.65,9.2
koe,geit,2.5,1.0,2.5,2.5,2.5,6.25,3.61,2.5,3.2,1.2,0.1,0.2,0.2,1.2,1.2
geloof,mening,2.5,2.5,2.45,2.5,1.5,2.5,2.54,2.5,3.75,2.5,3.25,2.5,2.5,2.5,2.5
werkelijkheid,illusie,1.67,1.5,1.2,2.5,1.67,1.2,1.2,2.0,1.5,2.33,3.2,1.67,1.62,1.4,2.5
overeenkomst,voorwaarde,2.5,3.2,2.2,2.5,3.5,2.5,3.5,1.5,3.45,2.5,3.2,2.5,2.5,3.45,3.2
