word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
game,fun,7.5,5.0,7.5,6.5,6.0,7.2,5.2,6.0,7.0,7.5,7.5,6.0,7.5,8.2,7.0
weekend,week,5.0,5.0,3.0,4.5,4.5,5.5,4.0,5.8,7.0,6.5,4.5,5.0,6.0,5.0,3.25
couple,pair,9.5,9.0,8.5,8.5,9.0,9.3,9.5,8.5,8.5,9.5,9.5,9.5,9.2,8.5,9.5
woman,wife,5.5,5.5,7.0,5.0,7.8,7.5,4.0,6.5,6.75,7.5,6.8,6.5,7.5,6.2,7.4
sheep,cattle,8.0,5.5,5.5,6.5,7.25,7.5,6.5,8.2,8.5,6.5,7.5,7.5,5.6,5.5,6.75
purse,bag,8.5,8.5,8.5,8.5,8.75,8.5,8.5,8.5,8.5,8.5,8.35,7.5,8.5,8.25,8.35
ceiling,cathedral,1.75,1.0,2.5,1.75,2.0,1.5,1.5,1.5,0.15,1.5,4.0,2.5,0.0,1.33,2.0
bean,coffee,7.5,8.5,4.5,7.5,6.0,7.0,6.75,7.5,7.0,6.75,6.5,6.5,7.0,7.2,7.5
top,side,2.0,2.5,4.0,3.5,3.0,3.2,1.0,3.0,1.5,2.5,2.5,2.0,3.75,3.0,3.0
crime,fraud,7.5,8.5,8.75,8.5,8.5,7.5,8.0,8.5,8.75,8.53,8.5,8.0,7.5,7.5,7.4
pain,harm,7.5,7.75,8.25,7.5,7.5,7.5,7.5,6.5,7.5,8.0,6.7,7.5,7.5,7.5,7.5
lover,companion,5.5,7.0,7.2,5.5,7.2,6.2,6.5,4.5,6.5,6.0,6.5,6.75,6.25,6.5,6.5
evening,dusk,8.25,8.5,7.75,7.8,8.5,8.0,8.75,8.4,8.5,8.5,8.75,8.2,8.75,8.0,8.5
father,daughter,1.75,3.5,3.4,2.5,2.0,4.0,2.5,4.5,4.5,4.2,5.0,5.0,2.0,4.5,5.0
wine,liquor,6.0,8.0,7.5,7.5,7.5,7.8,7.3,7.5,8.5,7.5,8.0,7.0,7.5,7.5,4.5
cow,goat,6.5,7.5,7.5,6.5,7.3,7.5,5.5,6.5,6.0,8.5,7.5,7.5,8.0,8.5,6.0
belief,opinion,7.5,7.0,8.5,7.5,7.5,8.5,7.25,7.5,8.2,7.5,8.5,7.5,7.8,7.5,6.8
reality,illusion,2.5,0.5,0.1,2.0,2.5,2.0,2.75,2.5,0.05,2.5,2.25,2.5,2.5,2.5,3.5
pact,agreement,9.5,9.0,9.2,9.0,9.0,9.5,9.5,9.0,8.5,9.0,9.1,9.8,9.0,8.85,9.0
wealth,poverty,1.0,0.02,2.0,0.1,0.02,0.05,0.1,0.1,0.2,0.0,0.01,0.5,0.1,0.05,1.75
accident,emergency,5.5,6.25,7.5,7.5,6.5,7.25,6.0,7.2,6.8,6.5,5.5,6.5,4.0,6.0,7.5
battle,conquest,7.5,7.0,7.5,7.0,7.5,7.2,7.75,6.5,7.75,7.25,7.25,7.5,6.5,7.5,7.0
friend,teacher,2.4,3.5,1.5,1.5,2.5,3.2,2.0,2.5,2.0,2.5,2.0,2.0,1.47,1.3,3.75
illness,infection,7.25,7.2,7.2,8.0,7.5,7.0,8.5,7.5,7.3,8.0,7.5,8.3,8.5,8.5,7.5
game,trick,2.35,4.0,4.5,4.25,2.3,3.1,4.5,4.25,2.3,3.5,3.5,2.5,3.2,3.0,2.5
brother,son,5.0,4.5,4.0,5.0,5.0,4.5,4.0,3.5,6.0,4.5,3.0,3.5,4.5,3.75,5.5
aunt,nephew,3.0,3.0,3.5,3.5,4.0,3.0,2.5,2.5,4.0,3.5,2.5,2.0,3.0,5.25,2.0
worker,mechanic,6.5,5.0,7.5,6.5,7.0,6.5,7.5,6.75,7.5,7.5,7.5,7.25,7.6,7.35,6.5
doctor,orthodontist,7.5,7.0,7.5,7.0,8.0,8.5,6.5,8.4,8.5,8.0,7.25,8.5,7.5,8.5,7.5
oak,maple,7.0,7.2,7.2,7.0,6.2,7.5,8.0,7.5,6.0,8.0,6.5,7.5,7.5,8.5,8.5
bee,queen,3.0,6.5,6.0,8.0,3.5,6.0,2.5,8.0,4.0,3.0,8.5,2.5,6.5,3.5,4.5
car,bicycle,6.5,4.5,4.5,5.5,3.5,5.0,5.0,4.5,6.5,4.5,3.5,4.5,6.5,6.7,6.2
goal,quest,7.5,9.0,8.5,8.5,7.25,8.5,8.5,8.0,8.5,7.5,7.5,8.5,8.0,8.5,6.5
august,month,8.5,6.5,8.5,8.5,8.5,8.75,9.0,7.5,8.5,3.5,8.0,8.5,7.5,8.5,8.5
army,squad,6.5,7.0,7.5,6.0,7.5,7.5,7.5,4.5,6.5,6.2,7.5,6.5,7.0,6.75,6.5
cloud,weather,5.75,5.0,7.5,7.3,3.0,5.25,6.5,6.0,7.5,6.5,3.5,3.5,4.5,6.0,6.0
physician,doctor,9.8,9.0,9.5,9.5,9.75,8.95,9.5,10.0,9.8,9.5,9.2,9.75,10.0,10.0,9.8
canyon,valley,9.0,8.5,7.5,8.75,8.5,7.5,8.5,8.0,7.5,8.5,8.5,8.0,8.5,8.3,8.0
river,valley,4.5,4.2,4.5,3.5,4.0,4.5,3.2,3.0,3.5,4.5,4.0,5.0,4.3,3.75,5.0
sun,sky,5.6,4.5,7.5,4.5,6.0,5.0,3.25,6.5,4.5,6.5,6.35,4.0,4.2,5.5,3.5
target,arrow,2.5,4.5,3.5,0.2,5.5,2.5,4.8,1.0,2.5,3.2,1.5,5.0,1.5,5.0,1.0
chocolate,pie,4.0,4.0,4.0,6.5,4.75,3.0,5.5,6.5,6.75,3.2,5.0,3.5,4.5,3.5,6.0
