word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
old,new,0.0,0.0,0.75,2.0,0.0,0.0,0.1,0.05,1.0,0.0,0.0,0.0,0.1,0.0,0.0
smart,intelligent,9.0,8.75,9.5,9.5,9.5,9.5,9.2,8.5,9.5,9.75,9.5,9.0,8.5,9.0,9.0
hard,difficult,9.0,9.5,9.75,8.75,9.5,9.0,9.5,9.75,8.75,9.2,9.8,9.5,9.0,9.5,9.5
happy,cheerful,8.75,9.0,9.2,8.0,9.0,9.5,9.3,9.8,9.0,8.75,8.5,9.45,8.5,9.0,8.5
hard,easy,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0
fast,rapid,9.5,9.75,9.75,9.5,9.5,9.0,9.0,9.5,9.5,9.5,9.0,9.2,9.5,9.8,9.5
happy,glad,9.0,8.75,8.5,9.5,9.0,9.2,8.2,9.5,8.5,9.0,9.0,9.5,9.0,9.0,8.75
short,long,0.05,1.5,0.05,0.0,0.1,0.0,2.0,0.2,0.0,0.1,0.0,0.1,1.0,0.2,1.0
stupid,dumb,8.5,9.0,9.8,9.5,9.0,8.3,9.5,9.1,9.8,9.7,9.5,9.5,9.5,9.0,9.0
weird,strange,8.5,9.3,9.0,9.8,8.5,9.0,8.75,8.5,9.0,8.5,8.9,8.5,9.0,9.0,9.5
wide,narrow,0.1,0.1,0.05,1.0,0.1,1.0,0.05,0.0,0.3,0.05,0.1,0.1,0.05,2.0,0.1
bad,awful,9.0,9.0,9.25,9.5,8.5,9.0,8.75,8.75,8.5,8.7,9.0,9.8,9.3,9.0,9.5
easy,difficult,0.05,0.1,0.05,0.0,0.15,0.1,0.05,1.75,0.1,0.0,1.0,0.1,0.1,0.1,0.1
bad,terrible,9.5,9.3,9.0,8.5,9.2,9.5,9.0,9.9,9.5,9.0,9.5,9.45,9.5,9.5,9.0
hard,simple,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.05,0.0,0.1,0.0,0.1,0.0,0.0,0.0
smart,dumb,0.05,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.05,2.5,0.1,0.0,2.0,0.0,0.0
insane,crazy,9.0,9.5,8.5,9.5,9.0,9.5,9.5,9.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5
happy,mad,0.0,0.1,0.25,0.05,1.0,1.5,1.5,1.2,2.0,0.0,1.0,1.0,0.3,0.1,1.5
large,huge,9.0,9.5,9.2,9.5,9.0,9.5,9.2,9.5,9.25,9.0,9.5,9.5,9.5,9.5,9.5
hard,tough,7.5,7.2,8.5,8.0,8.5,7.5,8.7,8.75,8.0,8.75,9.0,8.5,8.6,8.7,8.5
new,fresh,8.0,6.5,8.5,7.5,7.0,8.5,8.5,8.5,7.5,8.5,8.5,7.5,7.5,8.5,8.75
sharp,dull,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.5,0.05,0.0,0.2,0.1,0.0,0.1,0.1
quick,rapid,9.3,9.75,9.5,8.7,9.0,9.5,9.5,9.75,9.5,9.25,9.5,9.0,9.0,9.0,9.7
dumb,foolish,8.75,8.5,8.5,8.5,8.0,8.0,9.25,8.5,8.5,8.5,7.5,8.5,9.25,8.12,8.5
wonderful,terrific,8.5,9.0,8.5,9.0,9.75,9.5,9.3,9.5,8.9,9.0,9.5,8.75,9.5,8.5,8.5
strange,odd,9.0,8.5,9.75,9.6,8.5,9.5,8.5,8.75,9.5,8.5,8.5,9.75,9.0,9.5,9.5
happy,angry,0.0,1.0,0.0,2.0,0.0,0.1,0.05,0.1,0.0,0.1,0.0,1.0,0.0,2.0,1.0
narrow,broad,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.05,0.1,0.15,0.01
simple,easy,8.5,9.5,9.8,9.0,8.5,9.5,9.0,8.5,8.5,8.5,8.5,8.75,7.75,8.5,8.5
old,fresh,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.1,0.05,0.0,0.05,0.1,0.05,0.0,0.05
apparent,obvious,9.0,9.0,8.5,8.5,9.0,9.0,9.0,9.0,9.5,9.0,9.0,8.5,9.5,9.0,8.75
inexpensive,cheap,8.7,9.5,9.5,9.2,9.25,9.75,8.8,9.0,8.8,8.5,9.25,9.0,9.5,9.0,9.0
nice,generous,5.5,7.5,7.5,6.0,6.5,7.5,7.5,7.0,7.5,6.5,7.5,5.5,7.25,7.25,6.5
weird,normal,0.05,0.0,1.2,1.5,1.0,0.25,0.0,1.5,1.0,0.1,2.0,1.5,0.05,2.5,1.5
weird,odd,8.7,8.5,8.75,8.5,8.5,9.0,8.5,8.5,8.5,8.5,8.5,8.75,9.0,8.0,8.33
bad,immoral,6.5,6.0,7.5,6.3,7.5,7.5,6.0,4.5,6.5,7.3,7.75,7.75,7.5,7.5,6.5
sad,funny,2.0,2.0,0.0,0.05,0.0,0.1,0.15,0.1,0.1,0.0,2.0,1.5,0.0,1.0,0.1
wonderful,great,8.75,7.8,8.2,8.0,8.5,8.5,7.5,8.2,8.5,8.5,7.5,9.0,8.75,8.4,8.3
guilty,ashamed,7.5,7.5,6.75,8.25,7.25,7.25,8.7,8.5,7.3,7.3,7.8,8.5,8.5,8.0,8.5
beautiful,wonderful,8.5,8.5,8.5,8.5,8.25,8.75,8.5,8.7,8.0,8.7,8.5,8.5,8.5,7.56,8.5
confident,sure,9.75,8.5,9.0,9.0,8.5,8.5,8.7,8.5,8.2,8.75,8.75,8.5,9.3,9.5,9.2
dumb,dense,7.5,5.5,6.0,5.0,2.0,5.0,5.5,3.0,7.5,7.0,4.5,6.8,7.5,6.2,4.78
large,big,9.0,9.0,9.2,9.0,9.5,9.5,9.0,10.0,9.5,9.0,8.75,9.5,9.0,9.7,9.5
nice,cruel,0.05,0.05,0.0,1.0,0.0,1.0,0.0,0.1,0.25,0.15,0.0,0.0,0.05,0.0,0.0
impatient,anxious,7.5,6.75,7.5,8.5,4.5,6.5,6.5,6.5,7.5,5.5,7.5,6.5,5.5,5.3,7.5
big,broad,6.8,6.5,7.5,6.5,6.75,7.5,6.2,8.5,6.25,7.5,7.5,7.5,7.0,5.5,6.5
strong,proud,4.5,2.5,3.5,2.5,1.5,2.5,3.0,2.5,3.0,3.5,3.5,4.0,2.75,2.0,4.5
unnecessary,necessary,0.25,2.0,0.1,2.0,0.2,0.0,0.1,0.0,0.0,2.0,0.1,0.1,0.0,0.1,2.5
restless,young,2.5,2.5,1.75,3.0,3.0,1.2,3.0,2.0,4.5,2.0,2.0,1.5,3.5,2.5,2.5
dumb,intelligent,0.0,0.1,0.0,0.05,0.0,0.0,0.1,0.05,0.0,1.0,0.1,0.1,0.2,0.05,0.1
bad,great,0.2,0.0,0.2,0.2,0.0,0.05,1.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0
difficult,simple,0.0,0.0,0.05,0.0,0.1,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.1,0.1,0.05
necessary,important,7.3,8.5,8.0,7.5,7.5,8.0,7.0,7.5,7.8,7.5,7.5,8.0,7.75,7.75,7.5
bad,terrific,0.05,0.0,0.1,0.0,0.1,0.0,0.0,0.15,0.0,0.0,1.2,0.1,0.0,0.25,0.05
mad,glad,0.0,1.5,0.2,0.05,0.25,0.1,0.0,0.0,0.0,0.0,0.2,1.0,0.1,0.2,1.0
honest,guilty,1.5,2.0,0.2,1.2,0.0,1.0,0.1,2.0,0.2,0.05,2.0,0.0,0.0,0.05,0.1
easy,tough,0.2,0.25,0.2,1.0,0.0,0.1,0.0,2.0,0.0,0.05,2.0,1.0,0.1,0.2,0.0
easy,flexible,4.0,3.5,1.5,3.25,2.5,4.0,3.7,3.0,3.2,4.5,3.0,3.75,3.5,2.75,3.5
certain,sure,8.8,8.75,8.5,9.0,8.5,9.0,8.5,9.0,8.5,9.0,8.75,8.5,9.0,9.5,8.75
essential,necessary,9.5,9.5,9.5,9.8,9.0,9.0,9.5,9.75,9.5,9.0,9.7,9.0,9.5,9.5,9.5
different,normal,1.5,2.0,2.5,1.0,0.1,1.0,1.2,1.0,0.1,2.0,1.5,1.5,2.5,1.5,2.0
sly,clever,7.5,8.0,6.5,7.5,7.5,7.5,7.5,8.0,7.0,7.5,7.5,6.5,8.5,7.5,8.0
crucial,important,8.5,9.5,9.5,8.7,7.5,9.0,8.75,8.5,9.0,8.5,8.5,8.5,8.5,8.5,8.5
harsh,cruel,8.5,9.0,7.3,7.4,7.5,8.0,7.5,8.0,7.5,8.5,7.25,8.5,7.5,7.5,7.8
childish,foolish,6.0,7.4,6.0,6.5,5.75,7.5,7.5,7.5,6.5,6.0,7.0,6.5,4.2,7.2,7.0
scarce,rare,9.0,8.75,9.5,9.4,9.0,8.75,9.5,9.0,9.0,8.5,8.5,9.0,9.25,8.5,8.5
friendly,generous,6.0,7.3,5.75,7.2,7.0,6.5,7.5,6.25,6.5,6.5,7.0,6.75,6.5,6.75,5.0
fragile,frigid,0.05,0.05,0.2,0.0,0.1,0.0,0.1,0.05,0.1,0.25,0.1,0.3,0.1,0.0,0.0
long,narrow,2.0,2.5,1.0,0.1,1.5,2.5,4.5,0.25,0.1,2.5,3.0,2.5,0.1,1.5,1.5
big,heavy,5.2,5.5,6.5,7.3,4.5,4.5,6.75,4.5,6.5,5.0,6.5,5.5,5.5,5.5,6.8
rough,frigid,0.2,0.1,0.0,0.1,0.1,1.0,0.05,2.4,0.38,0.1,0.5,0.1,1.0,1.0,0.5
bizarre,strange,9.0,8.5,9.0,8.75,8.5,9.5,8.75,9.5,8.5,9.0,8.5,9.5,8.9,8.75,8.5
illegal,immoral,6.5,7.5,7.5,5.5,6.5,5.5,4.2,5.7,7.5,6.4,6.5,5.0,7.8,6.5,7.0
bad,guilty,6.5,6.5,7.5,7.5,6.5,3.5,5.5,6.3,6.5,6.5,3.0,6.75,6.5,5.0,6.5
modern,ancient,2.0,0.1,0.02,0.05,1.0,2.0,0.2,0.1,0.05,0.0,0.0,2.0,0.05,0.1,2.0
new,ancient,0.0,0.1,0.05,0.0,0.0,0.05,0.0,1.0,0.0,0.05,0.1,0.1,0.0,0.0,0.0
dull,funny,0.05,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,2.0,0.2,1.5,0.1,1.0,0.05
happy,young,1.2,1.5,1.0,1.25,1.9,0.2,1.5,2.0,1.5,1.5,0.0,1.2,0.1,1.0,2.3
easy,big,0.1,0.2,0.1,1.0,1.0,0.1,0.1,1.5,1.2,0.0,1.0,0.0,0.0,0.1,0.2
great,awful,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0
tiny,huge,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0
polite,proper,7.75,7.5,7.5,8.5,7.0,7.5,7.5,8.5,7.5,7.5,8.0,7.5,7.6,7.8,8.5
modest,ashamed,2.3,1.5,1.5,2.0,2.0,2.75,1.5,2.5,2.35,2.5,1.25,1.5,2.5,2.0,2.0
exotic,rare,7.25,6.5,6.0,6.5,7.5,6.0,7.0,6.25,7.5,7.0,7.5,7.5,6.25,6.5,7.25
dumb,clever,0.0,0.0,0.0,0.0,0.05,0.1,0.1,0.0,0.0,0.1,0.1,0.05,0.0,0.1,0.0
delightful,wonderful,8.5,9.5,9.75,8.75,9.5,8.75,8.5,8.5,8.5,9.4,9.2,9.0,9.25,9.25,8.75
noticeable,obvious,8.5,8.0,8.25,8.0,8.5,8.0,8.4,8.5,8.5,8.5,9.0,7.75,8.5,8.0,8.5
afraid,anxious,8.5,8.0,8.5,8.5,8.5,8.5,8.25,8.5,8.5,8.5,7.2,7.25,8.5,8.0,8.25
formal,proper,8.5,8.5,8.5,8.5,7.5,7.3,8.75,8.25,8.0,8.25,8.5,8.5,8.0,8.5,8.5
dreary,dull,8.0,8.2,7.5,5.5,8.75,7.5,7.5,6.5,7.8,7.0,8.0,9.5,7.5,8.5,8.0
delightful,cheerful,8.5,8.7,8.5,8.7,8.5,7.5,9.0,8.2,7.25,7.5,8.0,7.5,8.5,8.75,8.0
unhappy,mad,5.0,5.3,4.75,5.5,4.5,5.0,4.0,3.25,4.5,6.5,4.5,6.0,3.5,6.75,4.5
sad,terrible,5.5,4.5,4.75,6.0,4.5,5.0,6.75,4.5,7.3,3.5,4.5,5.5,4.0,7.5,6.5
sick,crazy,3.0,4.5,3.5,3.0,4.5,3.5,2.5,2.0,1.25,2.0,1.75,1.5,1.5,2.5,3.25
violent,angry,4.2,7.25,6.5,5.2,6.0,6.5,6.8,5.0,7.2,6.5,7.5,6.5,7.25,6.5,4.5
laden,heavy,8.5,9.0,8.0,8.75,8.7,9.0,8.5,8.5,7.5,8.25,8.5,8.5,9.0,8.5,9.25
dirty,cheap,1.75,1.2,1.8,1.2,1.5,0.2,2.5,1.0,2.5,0.45,2.0,0.1,1.25,0.0,0.08
elastic,flexible,9.5,8.7,8.67,8.75,8.7,8.5,8.75,8.5,9.0,8.5,8.5,8.5,8.5,9.5,8.5
hard,dense,6.5,4.5,6.5,6.5,4.5,6.5,5.5,5.0,7.0,4.3,6.0,6.7,7.5,5.5,7.5
recent,new,8.0,7.5,7.5,7.25,7.5,7.5,8.5,8.5,7.5,8.0,7.5,7.0,8.5,8.0,7.5
bold,proud,4.5,3.5,4.5,5.5,6.25,5.5,5.5,5.0,4.0,4.5,4.5,3.5,4.5,5.8,5.5
sly,strange,2.0,2.5,2.0,2.0,1.25,1.25,1.5,1.5,2.5,1.5,2.3,2.3,2.0,1.5,1.5
strange,sly,0.1,2.0,1.2,1.5,0.1,1.5,2.5,1.25,0.2,1.0,0.15,2.0,1.0,0.3,1.25
dumb,rare,0.05,0.0,0.05,1.0,0.1,0.05,0.0,0.0,0.0,0.05,0.05,0.0,0.1,0.0,0.0
sly,tough,2.0,1.5,2.0,0.0,0.1,0.1,1.0,2.0,2.0,0.25,1.0,1.5,1.5,0.1,1.5
terrific,mad,0.2,1.2,1.25,1.75,1.5,0.2,1.5,0.5,2.5,2.5,2.0,2.5,0.0,0.05,2.0
modest,flexible,1.23,0.2,1.5,1.0,2.5,1.0,2.5,0.2,2.0,2.0,1.5,1.0,1.2,0.05,0.2
fresh,wide,0.25,1.05,0.0,0.05,0.1,1.7,0.2,0.2,0.2,0.05,0.2,0.1,0.0,0.15,0.1
huge,dumb,0.0,0.0,1.0,0.05,0.1,0.1,0.0,0.0,0.05,0.01,0.1,0.0,0.0,0.1,0.0
large,flexible,1.25,0.05,0.1,0.05,0.2,1.2,0.0,0.0,0.1,0.15,0.0,1.0,0.1,2.0,0.0
dirty,narrow,0.0,0.1,0.1,0.05,0.05,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.05
wife,husband,8.5,9.0,9.0,8.7,8.5,8.5,8.0,7.5,8.5,8.5,9.0,9.0,7.0,8.0,8.0
book,text,4.5,7.5,7.5,8.0,7.2,7.5,7.0,7.75,6.5,6.5,5.5,5.75,7.0,7.0,8.5
groom,bride,8.0,6.5,8.5,8.5,6.5,8.5,4.0,6.2,8.0,6.5,8.0,7.0,5.5,6.5,7.3
night,day,0.2,1.0,0.0,3.5,2.0,1.0,2.0,1.0,2.0,2.5,0.2,2.0,0.05,0.0,1.5
south,north,1.0,1.0,0.2,0.2,0.1,0.0,0.0,1.0,0.0,2.0,0.0,2.5,0.05,0.0,0.0
plane,airport,6.4,5.0,6.0,6.0,4.5,7.0,7.2,7.0,6.25,7.0,4.5,6.5,6.5,6.5,4.0
uncle,aunt,6.5,8.0,7.75,7.5,7.5,7.25,8.75,7.3,8.5,7.5,5.0,7.5,8.5,8.0,7.8
horse,mare,8.5,8.5,8.5,7.5,9.0,8.5,8.0,8.5,8.32,8.5,9.0,7.5,9.0,8.5,8.5
