word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
boy,soldier,4.25,3.25,3.25,5.25,5.45,5.25,5.25,4.5,3.25,4.25,4.2,4.23,6.25,4.25,3.25
belly,abdomen,9.25,8.5,8.95,9.75,9.5,9.8,9.5,9.5,9.5,9.5,9.5,9.25,8.5,9.8,9.5
guy,girl,7.22,7.22,7.25,7.25,8.5,7.25,7.8,7.67,6.67,7.8,7.89,7.83,7.5,7.22,7.67
bed,chair,6.25,1.0,7.25,7.5,6.25,6.67,6.25,4.2,7.5,1.0,7.5,7.5,6.25,6.67,7.25
clothes,jacket,8.75,8.5,8.75,8.5,8.75,8.5,8.5,8.5,8.67,8.5,8.75,8.5,8.5,8.5,8.5
gun,knife,6.25,7.5,6.25,7.25,6.67,6.25,7.5,6.25,6.25,7.45,6.5,6.5,7.22,7.2,2.5
tin,metal,8.67,8.5,8.5,8.5,8.5,7.89,8.5,8.5,8.67,8.5,8.5,8.67,8.5,8.75,8.75
bottle,container,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.9,8.5,8.5,8.5,8.5,8.75,8.75
hen,turkey,7.2,7.5,7.25,6.2,7.5,7.67,6.25,7.25,6.25,6.25,5.5,6.25,7.5,8.25,8.5
meat,bread,4.22,2.34,2.45,1.0,2.34,2.44,3.2,2.5,2.67,5.2,2.45,2.34,3.25,3.2,2.5
arm,bone,7.25,7.5,7.25,5.25,6.67,7.8,7.5,7.65,6.45,7.67,7.25,7.25,7.25,7.25,7.6
neck,spine,7.89,7.68,8.5,8.5,8.5,8.33,8.25,8.67,8.5,8.5,7.5,7.67,8.67,7.5,8.75
apple,lemon,6.25,7.22,7.25,7.25,2.0,6.67,6.67,6.5,7.25,1.5,7.25,7.22,7.5,7.25,7.25
agony,grief,8.75,7.67,7.67,8.67,8.5,7.6,8.5,8.5,8.5,7.25,8.67,8.5,8.5,8.5,8.45
assignment,task,9.2,8.99,8.75,9.12,8.9,9.5,8.88,8.9,8.9,8.75,9.2,8.88,8.75,8.75,9.25
night,dawn,7.22,7.5,7.25,2.1,0.75,8.5,7.67,8.25,7.8,7.5,6.25,2.5,6.25,7.67,7.25
dinner,soup,7.65,8.5,6.75,7.68,7.65,8.5,7.65,8.32,7.65,7.89,7.85,8.5,7.5,8.5,8.5
calf,bull,7.68,7.5,7.88,7.25,7.8,7.22,6.67,7.65,7.5,8.5,7.5,7.89,8.5,7.25,7.12
snow,storm,4.5,7.85,5.0,7.67,7.8,7.65,7.5,7.65,7.23,6.25,7.25,6.67,7.25,7.65,6.5
