word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
old,new,0.0,0.19,1.0,0.07,0.02,0.04,0.01,2.5,0.01,1.0,0.01,0.15,0.04,0.01,0.04
smart,intelligent,10.0,0.83,1.0,0.88,0.94,0.95,9.5,7.5,8.0,1.0,9.5,0.95,1.0,9.0,0.91
hard,difficult,8.0,0.4,0.84,0.75,0.51,0.92,8.0,4.5,6.5,0.0,4.0,0.86,0.23,8.5,0.75
happy,cheerful,8.0,0.84,0.91,0.82,0.52,0.43,7.5,8.0,6.0,0.0,7.5,0.86,0.75,8.5,0.64
hard,easy,0.0,0.23,0.11,0.05,0.31,0.09,2.0,1.5,1.0,0.0,2.0,0.27,0.04,0.01,0.13
fast,rapid,9.0,0.85,1.0,0.87,0.81,0.89,8.5,8.5,8.5,1.0,8.5,0.84,0.95,9.5,0.92
happy,glad,7.0,0.75,0.75,0.78,0.74,0.75,7.0,7.5,7.0,0.0,8.0,0.86,0.83,8.0,0.73
short,long,8.0,0.33,0.73,0.83,0.71,0.87,8.0,6.5,5.0,1.0,5.5,0.85,0.22,7.5,0.62
stupid,dumb,9.0,0.94,1.0,0.91,0.92,0.94,9.0,8.0,8.0,1.0,9.0,0.94,0.93,8.0,0.88
weird,strange,9.0,0.89,1.0,0.84,0.96,0.94,9.0,9.0,9.0,1.0,8.0,0.93,0.86,9.0,0.92
wide,narrow,8.0,0.38,0.88,0.77,0.55,0.88,7.0,3.0,0.5,0.0,2.5,0.77,0.16,7.0,0.39
bad,awful,9.0,0.7,0.85,0.85,0.84,0.94,8.0,7.0,6.0,1.0,7.0,0.9,0.75,7.0,0.74
easy,difficult,8.0,0.52,0.57,0.79,0.35,0.87,8.0,4.0,3.0,0.0,5.0,0.87,0.21,6.5,0.74
bad,terrible,9.0,0.74,0.83,0.81,0.88,0.91,8.0,7.0,7.0,1.0,7.5,0.86,0.71,8.0,0.75
hard,simple,6.0,0.29,0.25,0.08,0.4,0.68,6.0,1.5,3.0,0.0,2.0,0.34,0.03,5.0,0.5
