word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
slim,intelligent,8.76,9.5,9.5,9.6,9.5,8.5,7.84,7.5,9.5,6.0,7.5,8.5,9.0,9.5,9.2
hard,moeilijk,3.01,5.0,6.0,2.0,6.0,3.0,4.83,2.5,3.0,3.0,4.0,2.5,6.0,5.0,2.0
gelukkig,vrolijk,6.54,7.5,8.0,8.5,9.0,7.0,7.39,7.5,7.5,7.0,8.5,7.5,8.0,8.5,7.5
hard,stoer,2.56,3.0,3.0,1.0,5.0,6.0,2.35,3.0,4.0,4.0,4.0,4.5,7.0,6.5,2.0
snel,razendsnel,9.43,9.0,9.5,9.5,8.0,9.0,9.17,8.5,8.5,9.0,8.5,8.5,9.0,8.75,9.3
gelukkig,blij,7.18,7.0,8.5,8.0,8.5,8.0,7.58,8.0,8.0,8.0,8.5,7.0,8.0,9.25,8.5
kort,lang,1.25,3.0,1.0,1.0,3.0,1.0,2.67,1.0,2.0,2.0,1.0,2.0,7.0,1.0,1.5
dom,stom,6.2,6.0,7.0,6.5,7.0,6.0,6.71,6.0,6.0,2.0,5.0,7.5,8.0,7.5,8.0
vreemd,eigenaardig,7.34,9.5,9.0,9.5,9.0,8.0,8.67,9.0,8.5,8.0,8.0,9.0,8.0,9.0,9.2
breed,smal,1.65,2.0,3.0,1.0,2.5,1.0,1.67,2.0,2.0,2.0,1.0,1.5,5.0,2.0,1.5
makkelijk,moeilijk,4.65,3.5,2.0,1.0,4.0,1.0,5.5,2.5,3.0,2.0,3.0,2.0,7.0,2.5,1.5
moeilijk,gemakkelijk,7.12,4.0,6.5,1.5,7.0,1.0,5.0,7.0,8.0,2.0,3.0,5.0,7.0,8.0,9.0
slim,dom,2.34,3.0,2.0,2.0,4.0,2.0,5.0,2.0,2.5,1.0,1.0,1.5,2.0,1.5,1.5
krankzinnig,gek,8.76,8.5,9.0,9.0,9.0,9.0,8.4,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.5
gelukkig,kwaad,2.34,1.5,1.0,1.0,3.0,2.0,1.92,1.0,1.5,1.0,2.0,1.0,2.0,2.0,2.0
uitgebreid,groot,6.78,6.0,5.0,6.5,5.0,4.0,6.67,6.0,6.5,5.0,5.5,5.5,8.0,6.0,4.0
moeilijk,simpel,6.32,6.5,6.5,2.0,4.0,7.0,5.75,7.5,8.0,7.0,4.0,5.5,7.0,8.5,8.2
nieuw,vers,8.43,8.0,8.0,8.0,8.5,7.0,7.79,9.0,8.5,6.0,8.5,9.0,9.0,9.0,8.5
scherp,saai,2.65,2.0,1.0,1.0,2.0,1.0,2.07,1.0,1.5,1.0,1.0,2.0,3.0,1.5,2.0
vlug,snel,8.53,8.5,9.0,8.5,6.5,8.0,6.17,8.0,8.5,7.0,8.0,8.0,9.0,8.0,8.5
dom,dwaas,7.54,6.5,8.0,8.0,7.0,7.0,8.0,7.0,6.0,6.0,6.0,8.0,8.0,8.0,9.0
prachtig,fantastisch,8.76,9.5,9.0,9.0,8.5,8.0,8.68,8.0,9.0,9.0,8.0,8.5,9.0,9.0,9.5
eigenaardig,vreemd,7.78,9.0,9.0,8.5,9.0,7.0,8.67,7.5,9.0,8.0,8.0,9.0,9.0,8.5,8.5
gelukkig,boos,2.15,2.0,1.0,1.0,3.0,1.0,1.79,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
smal,breed,1.65,2.0,3.0,1.0,2.5,1.0,1.67,2.0,2.0,2.0,1.0,1.5,5.0,2.0,1.5
eenvoudig,gemakkelijk,8.12,8.0,7.0,8.0,8.0,9.0,7.67,7.5,8.5,7.0,7.5,8.5,9.0,8.5,9.2
oud,vers,2.56,2.0,2.0,2.0,3.5,1.0,2.48,1.0,3.5,1.0,1.0,1.5,1.0,2.0,1.5
kennelijk,duidelijk,6.21,3.0,4.0,5.0,5.0,3.0,5.17,3.0,4.0,6.0,5.0,5.0,8.0,6.0,6.0
betaalbaar,goedkoop,8.21,9.0,9.0,9.0,9.0,9.0,8.4,9.0,9.0,9.0,8.0,8.5,9.0,9.0,9.0
leuk,grootmoedig,2.54,1.0,1.0,1.0,2.0,1.0,1.67,1.0,2.0,1.0,1.0,1.5,3.0,1.0,2.0
raar,vreemd,7.89,8.0,8.5,8.5,8.5,8.0,7.5,7.0,8.0,8.0,7.5,8.5,8.0,8.5,8.5
vreemd,normaal,3.67,2.0,1.0,2.0,2.0,2.0,1.38,2.0,2.0,1.0,1.0,2.0,3.0,1.5,2.0
slecht,immoreel,6.54,5.0,7.0,7.0,6.0,5.0,4.75,8.0,7.0,7.0,7.5,5.0,7.0,8.0,8.5
