word1,word2,Simlex999,Std Deviation,Variance,Count,POS
accepteren,ontkennen,1.8,1.59,2.52,10,V
angstig,bang,9.06,1.01,1.02,10,A
arm,schouder,4.76,2.86,8.16,10,N
bank,honkbal,1.7,1.77,3.13,10,N
bier,alcohol,5.08,3.28,10.75,10,N
hard,moeilijk,4.46,3.18,10.14,10,A
krijgen,achterblijven,1.41,1.41,1.98,10,V
lang,smal,3.08,2.62,6.89,10,N
likeur,muziekgroep,0.85,0.49,0.24,10,N
man,oom,3.62,2.29,5.23,10,N
man,vader,4.31,2.41,5.79,10,N
mensen,pistool,1.25,1.22,1.49,10,N
motor,aandrijving,5.24,2.55,6.51,10,N
nemen,ontvangen,5.38,2.85,8.09,10,V
onderneming,bedrijf,7.95,2.16,4.68,10,N
paard,os,3.55,2.28,5.19,10,N
plaatsen,ophangen,3.91,2.69,7.25,10,V
raket,lawaai,2.69,2.05,4.18,10,N
tijdperk,decennium,5.92,2.57,6.59,10,N
vliegtuig,luchthaven,5.12,3.27,10.7,10,N
vogel,havik,4.52,2.78,7.7,10,N
weten,geloven,2.87,2.12,4.49,10,V
winter,seizoen,5.08,3.68,13.58,10,N
wortel,gras,3.44,2.55,6.49,10,N
acteur,zanger,3.13,2.61,6.83,11,N
alcohol,jenever,4.57,3.27,10.72,11,N
auto,fiets,3.02,2.43,5.89,11,N
belichamen,beslissen,1.15,0.77,0.6,11,V
bloem,struik,3.78,2.06,4.25,11,N
boek,literatuur,6.74,2.48,6.18,11,N
bruidegom,bruid,5.95,3.94,15.55,11,N
concluderen,beslissen,4.95,2.13,4.55,11,V
dak,plafond,6.25,2.46,6.07,11,N
discussie,argument,6.09,2.75,7.58,11,V
discussiëren,uitleggen,2.33,1.54,2.38,11,N
dokter,temperament,1.47,1.44,2.08,11,N
doos,sigaar,2.81,2.49,6.22,11,N
gebied,zone,8.42,0.81,0.65,11,N
geven,weigeren,0.9,0.67,0.45,11,V
huis,schuur,3.54,1.89,3.59,11,N
jongen,broer,5.22,2.96,8.79,11,N
kat,konijn,2.85,2.15,4.61,11,N
kennelijk,duidelijk,4.04,2.94,8.66,11,N
kleding,stof,4.88,2.81,7.92,11,N
kogel,kanon,4.96,2.85,8.1,11,N
komen,brengen,2.83,1.45,2.11,11,V
lichaam,zenuw,3.05,2.38,5.68,11,N
maken,verdienen,3.57,2.32,5.37,11,V
meter,centimeter,5.05,3.74,13.99,11,N
mond,lip,5.79,2.14,4.58,11,N
motel,herberg,6.85,2.59,6.69,11,N
motor,boot,3.55,2.32,5.36,11,N
muziekgroep,parade,3.9,2.63,6.94,11,N
nacht,dag,4.55,3.66,13.4,11,N
nemen,dragen,2.75,2.65,7,11,V
opnemen,intrekken,2.29,2.67,7.13,11,V
opvallend,duidelijk,6.18,2.54,6.47,11,A
pijn,schade,4.4,1.77,3.14,11,N
pistool,bont,0.99,0.64,0.41,11,N
ravijn,vallei,6.08,2.31,5.34,11,N
regen,mist,3.93,2.71,7.35,11,N
schuilplaats,hut,5.32,1.95,3.81,11,N
smal,breed,3.59,3.19,10.16,11,A
strijd,verovering,5.56,2.4,5.78,11,N
uitbreiden,groeien,7.18,1.78,3.17,11,V
uithoudingsvermogen,muziekgroep,0.87,0.93,0.86,11,N
verhaal,onderwerp,3.47,2.1,4.42,11,N
vermogen,competentie,6.64,2.81,7.89,11,N
verpleegster,wetenschapper,2.33,1.81,3.28,11,N
vreemd,normaal,1.81,1.77,3.15,11,A
vrouw,man,5.08,4.13,17.02,11,N
weekend,week,4.25,3.19,10.17,11,N
winnaar,doel,2.79,2.1,4.4,11,N
zelfverzekerd,zeker,7.49,2.07,4.27,11,A
akkoord gaan,afwijken,1.35,2.06,4.24,12,V
auto,taxi,5.4,2.25,5.06,12,N
beschermen,verdedigen,7.6,1.96,3.84,12,V
bloem,bol,3.34,2.54,6.45,12,N
boek,artikel,3.86,1.94,3.77,12,N
buik,taille,4.97,2.71,7.35,12,N
doden,wurgen,5.31,3.07,9.45,12,V
doos,hoed,0.93,0.83,0.69,12,N
elleboog,enkel,2.74,2.39,5.69,12,N
gitaar,drumstel,2.45,2.46,6.03,12,N
