word1,word2,similarity_score
old,new,0.57
smart,intelligent,0.61
hard,difficult,0.52
happy,cheerful,0.57
hard,easy,0.52
fast,rapid,0.66
happy,glad,0.6
short,long,0.63
stupid,dumb,0.75
weird,strange,0.79
wide,narrow,0.51
bad,awful,0.54
easy,difficult,0.5
bad,terrible,0.55
hard,simple,0.42
smart,dumb,0.44
insane,crazy,0.81
happy,mad,0.44
large,huge,0.7
hard,tough,0.6
new,fresh,0.69
sharp,dull,0.38
quick,rapid,0.66
dumb,foolish,0.55
wonderful,terrific,0.58
strange,odd,0.57
happy,angry,0.46
narrow,broad,0.51
simple,easy,0.75
old,fresh,0.48
apparent,obvious,0.59
inexpensive,cheap,0.66
nice,generous,0.41
weird,normal,0.45
weird,odd,0.58
bad,immoral,0.38
sad,funny,0.41
wonderful,great,0.59
guilty,ashamed,0.54
beautiful,wonderful,0.58
confident,sure,0.38
dumb,dense,0.38
large,big,0.75
nice,cruel,0.34
impatient,anxious,0.54
big,broad,0.49
strong,proud,0.47
unnecessary,necessary,0.62
restless,young,0.29
dumb,intelligent,0.37
bad,great,0.57
difficult,simple,0.4
necessary,important,0.5
bad,terrific,0.41
mad,glad,0.42
honest,guilty,0.37
easy,tough,0.44
easy,flexible,0.45
certain,sure,0.48
essential,necessary,0.67
different,normal,0.42
sly,clever,0.57
crucial,important,0.54
harsh,cruel,0.58
childish,foolish,0.55
scarce,rare,0.64
friendly,generous,0.47
fragile,frigid,0.4
long,narrow,0.39
big,heavy,0.56
rough,frigid,0.25
bizarre,strange,0.72
illegal,immoral,0.49
bad,guilty,0.36
modern,ancient,0.38
new,ancient,0.32
dull,funny,0.34
happy,young,0.35
easy,big,0.45
great,awful,0.43
tiny,huge,0.49
polite,proper,0.44
modest,ashamed,0.4
exotic,rare,0.48
dumb,clever,0.41
delightful,wonderful,0.64
noticeable,obvious,0.57
afraid,anxious,0.58
formal,proper,0.55
dreary,dull,0.62
delightful,cheerful,0.55
unhappy,mad,0.33
sad,terrible,0.38
sick,crazy,0.51
violent,angry,0.44
laden,heavy,0.45
dirty,cheap,0.43
elastic,flexible,0.5
hard,dense,0.45
recent,new,0.59
bold,proud,0.42
sly,strange,0.39
strange,sly,0.39
dumb,rare,0.3
sly,tough,0.36
terrific,mad,0.31
modest,flexible,0.38
fresh,wide,0.35
huge,dumb,0.34
large,flexible,0.35
dirty,narrow,0.27
wife,husband,0.63
book,text,0.43
groom,bride,0.63
night,day,0.52
south,north,0.72
plane,airport,0.53
uncle,aunt,0.69
horse,mare,0.43
bottom,top,0.72
friend,buddy,0.67
student,pupil,0.52
world,globe,0.54
leg,arm,0.44
plane,jet,0.56
woman,man,0.57
horse,colt,0.47
actress,actor,0.69
teacher,instructor,0.61
movie,film,0.77
bird,hawk,0.55
word,dictionary,0.56
money,salary,0.44
dog,cat,0.59
area,region,0.69
navy,army,0.61
book,literature,0.43
clothes,closet,0.5
sunset,sunrise,0.76
child,adult,0.53
cow,cattle,0.61
book,story,0.46
winter,summer,0.65
taxi,cab,0.5
tree,maple,0.42
bed,bedroom,0.56
roof,ceiling,0.54
disease,infection,0.58
arm,shoulder,0.43
sheep,lamb,0.64
lady,gentleman,0.58
boat,anchor,0.44
priest,monk,0.56
toe,finger,0.5
river,stream,0.58
anger,fury,0.56
date,calendar,0.54
sea,ocean,0.58
second,minute,0.61
hand,thumb,0.47
wood,log,0.37
mud,dirt,0.63
hallway,corridor,0.73
way,manner,0.48
mouse,cat,0.45
cop,sheriff,0.42
death,burial,0.44
music,melody,0.44
beer,alcohol,0.49
mouth,lip,0.44
storm,hurricane,0.51
tax,income,0.45
flower,violet,0.43
paper,cardboard,0.52
floor,ceiling,0.54
beach,seashore,0.66
rod,curtain,0.33
hound,fox,0.43
street,alley,0.42
boat,deck,0.47
car,horn,0.31
friend,guest,0.42
employer,employee,0.78
hand,wrist,0.46
ball,cannon,0.39
alcohol,brandy,0.45
victory,triumph,0.73
telephone,booth,0.39
door,doorway,0.73
motel,inn,0.34
clothes,cloth,0.61
steak,meat,0.6
nail,thumb,0.43
band,orchestra,0.43
book,bible,0.48
business,industry,0.61
winter,season,0.59
decade,century,0.58
alcohol,gin,0.32
hat,coat,0.45
window,door,0.5
arm,wrist,0.42
house,apartment,0.42
glass,crystal,0.52
wine,brandy,0.47
creator,maker,0.7
dinner,breakfast,0.59
arm,muscle,0.36
bubble,suds,0.39
bread,flour,0.51
death,tragedy,0.38
absence,presence,0.46
gun,cannon,0.53
grass,blade,0.27
ball,basket,0.54
hose,garden,0.35
boy,kid,0.52
church,choir,0.49
clothes,drawer,0.36
tower,bell,0.43
father,parent,0.6
school,grade,0.48
parent,adult,0.46
bar,jail,0.36
car,highway,0.35
dictionary,definition,0.64
door,cellar,0.39
army,legion,0.47
metal,aluminum,0.5
chair,bench,0.49
cloud,fog,0.5
boy,son,0.48
water,ice,0.5
bed,blanket,0.42
attorney,lawyer,0.73
area,zone,0.55
business,company,0.6
clothes,fabric,0.47
sweater,jacket,0.55
money,capital,0.42
hand,foot,0.38
alcohol,cocktail,0.42
yard,inch,0.36
molecule,atom,0.46
lens,camera,0.5
meal,dinner,0.52
eye,tear,0.43
god,devil,0.44
loop,belt,0.37
rat,mouse,0.52
motor,engine,0.62
car,cab,0.62
cat,lion,0.36
size,magnitude,0.55
reality,fantasy,0.51
door,gate,0.61
cat,pet,0.63
tin,aluminum,0.48
bone,jaw,0.47
cereal,wheat,0.53
house,key,0.31
blood,flesh,0.44
door,corridor,0.43
god,spirit,0.39
capability,competence,0.54
abundance,plenty,0.65
sofa,chair,0.5
wall,brick,0.49
horn,drum,0.37
organ,liver,0.45
strength,might,0.43
phrase,word,0.54
band,parade,0.3
stomach,waist,0.42
cloud,storm,0.45
joy,pride,0.36
noise,rattle,0.41
rain,mist,0.42
beer,beverage,0.53
man,uncle,0.37
apple,juice,0.4
intelligence,logic,0.51
communication,language,0.47
mink,fur,0.48
mob,crowd,0.42
shore,coast,0.59
wire,cord,0.55
bird,turkey,0.39
bed,crib,0.55
competence,ability,0.54
cloud,haze,0.45
supper,meal,0.49
bar,cage,0.37
water,salt,0.43
sense,intuition,0.45
situation,condition,0.52
crime,theft,0.51
style,fashion,0.58
boundary,border,0.72
arm,body,0.36
boat,car,0.5
sandwich,lunch,0.51
bride,princess,0.47
heroine,hero,0.61
car,gauge,0.24
insect,bee,0.44
crib,cradle,0.7
animal,person,0.47
marijuana,herb,0.53
bed,hospital,0.41
cheek,tongue,0.48
disc,computer,0.41
curve,angle,0.5
grass,moss,0.48
school,law,0.39
foot,head,0.47
mother,guardian,0.39
orthodontist,dentist,0.71
alcohol,whiskey,0.56
mouth,tooth,0.44
breakfast,bacon,0.47
bathroom,bedroom,0.66
plate,bowl,0.47
meat,bacon,0.48
air,helium,0.45
worker,employer,0.58
body,chest,0.43
son,father,0.47
heart,surgery,0.26
woman,secretary,0.32
man,father,0.48
beach,island,0.45
story,topic,0.42
game,fun,0.53
weekend,week,0.6
couple,pair,0.54
woman,wife,0.58
sheep,cattle,0.6
purse,bag,0.57
ceiling,cathedral,0.38
bean,coffee,0.38
wood,paper,0.4
top,side,0.45
crime,fraud,0.53
pain,harm,0.41
lover,companion,0.43
evening,dusk,0.58
father,daughter,0.51
wine,liquor,0.5
cow,goat,0.51
belief,opinion,0.44
reality,illusion,0.44
pact,agreement,0.59
wealth,poverty,0.41
accident,emergency,0.41
battle,conquest,0.41
friend,teacher,0.39
illness,infection,0.57
game,trick,0.39
brother,son,0.42
aunt,nephew,0.57
worker,mechanic,0.42
doctor,orthodontist,0.43
oak,maple,0.55
