word1,word2,similarity_score
oud,nieuw,0.4
slim,intelligent,0.26
hard,moeilijk,0.36
gelukkig,vrolijk,0.73
hard,stoer,0.41
snel,razendsnel,0.76
gelukkig,blij,0.68
kort,lang,0.38
dom,stom,0.38
vreemd,eigenaardig,0.71
breed,smal,0.35
makkelijk,moeilijk,0.63
moeilijk,gemakkelijk,0.62
slim,dom,0.21
krankzinnig,gek,0.39
gelukkig,kwaad,0.45
uitgebreid,groot,0.37
moeilijk,simpel,0.46
nieuw,vers,0.3
scherp,saai,0.27
vlug,snel,0.57
dom,dwaas,0.26
prachtig,fantastisch,0.66
eigenaardig,vreemd,0.71
gelukkig,boos,0.25
smal,breed,0.35
eenvoudig,gemakkelijk,0.76
oud,vers,0.41
kennelijk,duidelijk,0.6
betaalbaar,goedkoop,0.53
leuk,grootmoedig,0.33
raar,vreemd,0.75
vreemd,normaal,0.46
slecht,immoreel,0.46
verdrietig,grappig,0.5
prachtig,geweldig,0.75
schuldig,beschaamd,0.53
mooi,prachtig,0.76
zelfverzekerd,zeker,0.62
dom,onderontwikkeld,0.15
groot,flexibel,0.35
aardig,wreed,0.41
ongeduldig,nerveus,0.39
groot,breed,0.38
sterk,trots,0.44
onnodig,noodzakelijk,0.67
onrustig,jong,0.25
dom,intelligent,0.2
slecht,geweldig,0.5
moeilijk,eenvoudig,0.54
noodzakelijk,belangrijk,0.62
slecht,verschrikkelijk,0.66
boos,blij,0.34
eerlijk,schuldig,0.44
makkelijk,zwaar,0.5
makkelijk,flexibel,0.48
stellig,zeker,0.3
essentieel,noodzakelijk,0.71
anders,normaal,0.31
sluw,slim,0.42
cruciaal,belangrijk,0.77
hard,wreed,0.38
kinderachtig,dwaas,0.48
zelden,zeldzaam,0.7
vriendelijk,vrijgevig,0.58
breekbaar,kil,0.19
lang,smal,0.33
groot,zwaar,0.38
ruw,koel,0.37
bizar,vreemd,0.68
illegaal,immoreel,0.47
slecht,schuldig,0.5
modern,oud,0.37
nieuw,oud,0.4
saai,grappig,0.28
gelukkig,jong,0.24
makkelijk,groot,0.37
geweldig,vreselijk,0.63
klein,enorm,0.39
beleefd,gepast,0.51
bescheiden,beschaamd,0.41
exotisch,zeldzaam,0.48
dom,slim,0.21
heerlijk,prachtig,0.62
opvallend,duidelijk,0.56
angstig,bang,0.24
formeel,juist,0.45
somber,saai,0.23
heerlijk,vrolijk,0.5
ongelukkig,kwaad,0.54
verdrietig,vreselijk,0.52
ziek,gek,0.46
gewelddadig,boos,0.25
beladen,zwaar,0.52
vuil,goedkoop,0.45
elastisch,flexibel,0.69
hard,dicht,0.36
onlangs,nieuw,0.53
brutaal,trots,0.3
sluw,vreemd,0.34
vreemd,sluw,0.34
dom,zeldzaam,0.16
sluw,koppig,0.37
fantastisch,kwaad,0.35
bescheiden,flexibel,0.43
vers,breed,0.26
enorm,sprakeloos,0.35
groot,enorm,0.49
vuil,smal,0.36
echtgenote,echtgenoot,0.96
boek,tekst,0.5
bruidegom,bruid,0.78
nacht,dag,0.45
zuid,noord,0.65
vliegtuig,luchthaven,0.6
oom,tante,0.3
paard,merrie,0.3
onderkant,bovenkant,0.76
vriend,maat,0.3
student,leerling,0.51
wereld,wereldbol,0.72
been,arm,0.24
vliegtuig,straalvliegtuig,0.66
vrouw,man,0.34
paard,veulen,0.49
actrice,acteur,0.82
leraar,instructeur,0.64
film,filmrol,0.59
vogel,havik,0.42
woord,woordenboek,0.58
geld,salaris,0.47
hond,kat,0.28
gebied,regio,0.57
marine,leger,0.3
boek,literatuur,0.61
kleding,kast,0.42
zonsondergang,zonsopgang,0.78
kind,volwassen,0.25
koe,vee,0.4
boek,verhaal,0.59
winter,zomer,0.46
taxi,taxis,0.78
boom,esdoorn,0.33
bed,slaapkamer,0.36
dak,plafond,0.37
ziekte,infectie,0.61
arm,schouder,0.4
schaap,lam,0.36
dame,meneer,0.39
boot,anker,0.31
priester,monnik,0.49
teen,vinger,0.28
rivier,stroom,0.6
boosheid,woede,0.72
datum,kalender,0.51
zee,oceaan,0.35
seconde,minuut,0.33
hand,duim,0.44
hout,stam,0.42
modder,vuil,0.4
hal,gang,0.26
weg,manier,0.41
muis,kat,0.31
politieagent,sheriff,0.44
dood,begrafenis,0.44
muziek,melodie,0.5
bier,alcohol,0.36
mond,lip,0.25
storm,orkaan,0.48
belasting,inkomen,0.47
bloem,viooltjes,0.54
papier,karton,0.59
vloer,plafond,0.6
strand,kust,0.34
staaf,gordijn,0.35
jachthond,vos,0.21
straat,auto,0.26
boot,dek,0.4
auto,toeter,0.29
vriend,gast,0.5
werkgever,werknemer,0.69
hand,pols,0.25
bal,kostuum,0.22
alcohol,brandewijn,0.4
overwinning,zege,0.55
telefoon,cel,0.34
deur,ingang,0.36
motel,herberg,0.45
kleding,stof,0.5
steak,vlees,0.49
nagel,duim,0.48
muziekgroep,orkest,0.57
boek,bijbel,0.67
bedrijf,industrie,0.53
winter,seizoen,0.37
decennium,eeuw,0.58
alcohol,jenever,0.37
hoed,jas,0.23
raam,deur,0.54
arm,pols,0.26
huis,appartement,0.54
glas,kristal,0.46
wijn,brandewijn,0.69
maker,producent,0.5
diner,ontbijt,0.41
arm,spier,0.31
bubbel,schuim,0.55
brood,meel,0.44
dood,tragedie,0.37
afwezigheid,aanwezigheid,0.74
pistool,kanon,0.34
gras,stro,0.21
bal,mand,0.34
slang,tuin,0.28
jongen,kind,0.34
kerk,koor,0.6
kleding,lade,0.24
toren,bel,0.33
vader,ouder,0.55
school,cijfer,0.25
ouder,volwassene,0.59
balk,gevangenis,0.18
auto,snelweg,0.3
woordenboek,definitie,0.53
deur,kelder,0.52
leger,legioen,0.51
metaal,aluminium,0.5
stoel,bank,0.29
wolk,mist,0.4
jongen,zoon,0.46
water,ijs,0.39
bed,deken,0.35
officier van justitie,advocaat,0.54
gebied,zone,0.45
bedrijf,onderneming,0.83
kleding,textiel,0.68
trui,jas,0.24
geld,vermogen,0.56
hand,voet,0.34
alcohol,cocktail,0.42
decimeter,centimeter,0.67
molecuul,atoom,0.67
lens,camera,0.5
maaltijd,diner,0.41
oog,traan,0.47
god,duivel,0.33
lus,riem,0.19
rat,muis,0.41
motor,aandrijving,0.44
auto,taxi,0.41
kat,leeuw,0.25
maat,omvang,0.35
werkelijkheid,verbeelding,0.57
deur,poort,0.64
kat,huisdier,0.25
blik,aluminium,0.33
botten,kaak,0.36
graan,tarwe,0.63
huis,sleutel,0.42
bloed,vlees,0.55
deur,gang,0.23
god,geest,0.34
vermogen,competentie,0.5
uitbundigheid,overvloed,0.66
bank,stoel,0.29
muur,baksteen,0.54
hoorn,trommel,0.35
orgaan,lever,0.31
kracht,macht,0.62
zin,woord,0.29
muziekgroep,parade,0.21
buik,taille,0.34
wolk,storm,0.41
vreugde,trots,0.35
lawaai,gerammel,0.45
regen,mist,0.27
bier,drank,0.38
man,oom,0.3
appel,sap,0.33
intelligentie,logica,0.4
communicatie,taal,0.44
nerts,bont,0.36
bende,menigte,0.3
oever,kust,0.45
pijpleiding,kabel,0.32
vogel,kalkoen,0.36
bed,wieg,0.35
competentie,vermogen,0.5
wolk,nevel,0.37
avondeten,maaltijd,0.64
balk,kooi,0.28
water,zout,0.37
gevoel,intuïtie,0.66
situatie,omstandigheid,0.66
misdaad,diefstal,0.57
stijl,mode,0.43
rand,grens,0.3
arm,lichaam,0.26
boot,auto,0.44
broodje,lunch,0.4
bruid,prinses,0.56
heldin,held,0.45
auto,meter,0.32
insect,bij,0.27
kinderbed,wieg,0.4
dier,persoon,0.49
marihuana,kruid,0.39
bed,ziekenhuis,0.22
wang,tong,0.43
cd,computer,0.39
bocht,hoek,0.56
gras,mos,0.29
school,wet,0.27
voet,hoofd,0.61
moeder,beschermer,0.47
orthodontist,tandarts,0.52
alcohol,whisky,0.52
mond,tand,0.28
ontbijt,spek,0.27
badkamer,slaapkamer,0.65
bord,kom,0.33
vlees,brood,0.39
lucht,helium,0.42
arbeider,werkgever,0.47
lichaam,borst,0.49
zoon,vader,0.39
hart,operatie,0.17
vrouw,secretaresse,0.47
man,vader,0.36
strand,eiland,0.31
verhaal,onderwerp,0.5
spel,plezier,0.42
weekend,week,0.6
koppel,paar,0.44
vrouw,echtgenote,0.59
schaap,vee,0.38
portemonnee,tas,0.21
dak,kathedraal,0.32
boon,koffie,0.33
hout,papier,0.41
bovenkant,zijkant,0.61
misdaad,fraude,0.46
pijn,schade,0.46
minnaar,partner,0.23
avond,schemering,0.44
vader,dochter,0.44
wijn,likeur,0.58
koe,geit,0.55
geloof,mening,0.33
werkelijkheid,illusie,0.52
overeenkomst,voorwaarde,0.54
rijkdom,armoede,0.54
ongeval,noodgeval,0.67
strijd,verovering,0.52
vriend,leraar,0.48
ziekte,besmetting,0.51
spel,truc,0.33
broer,zoon,0.48
tante,neef,0.34
arbeider,monteur,0.44
dokter,orthodontist,0.36
eikenboom,esdoorn,0.52
bij,koningin,0.27
auto,fiets,0.3
doelwit,zoektocht,0.33
augustus,maand,0.38
leger,ploeg,0.37
wolk,weer,0.49
arts,dokter,0.2
ravijn,vallei,0.62
rivier,vallei,0.57
zon,lucht,0.3
doel,pijl,0.41
chocolade,taart,0.58
omstandigheid,situatie,0.66
mening,keuze,0.28
ritme,melodie,0.49
darm,zenuw,0.39
dag,dageraad,0.44
vee,rundvlees,0.25
dokter,professor,0.38
arm,ader,0.36
kamer,bad,0.24
onderneming,bedrijf,0.83
plezier,voetbal,0.41
heuvel,cliff,0.43
botten,enkel,0.39
appel,snoep,0.43
helper,huishulp,0.38
leider,manager,0.27
citroen,thee,0.27
bij,mier,0.26
basketbal,honkbal,0.62
rijst,boon,0.35
bed,meubels,0.3
emotie,passie,0.58
anarchie,chaos,0.5
misdaad,overtreding,0.63
machine,aandrijving,0.32
strand,zee,0.33
steeg,kom,0.27
pot,fles,0.28
kracht,vermogen,0.55
zaad,mosterd,0.52
gitaar,drumstel,0.52
mening,idee,0.3
noord,west,0.45
dieet,salade,0.45
moeder,vrouw,0.68
vader,moeder,0.54
kapitein,matroos,0.57
meter,decimeter,0.63
bier,champagne,0.35
motor,boot,0.42
kaart,brug,0.41
wetenschap,psychologie,0.48
zondaar,heilige,0.45
vernietiging,constructie,0.43
menigte,massa,0.46
strand,rif,0.34
man,kind,0.4
brood,kaas,0.33
kampioen,winnaar,0.66
feest,ceremonie,0.55
menu,bestelling,0.33
koning,prinses,0.59
rijkdom,aanzien,0.42
uithoudingsvermogen,kracht,0.53
gevaar,bedreiging,0.72
god,priester,0.31
mannen,broederschap,0.42
vriend,partner,0.39
leraar,helper,0.31
lichaam,buik,0.56
tong,keel,0.35
huis,tapijt,0.46
intelligentie,vaardigheid,0.55
reis,verovering,0.28
god,prooi,0.22
broer,ziel,0.18
tegenstander,rivaal,0.57
dood,ramp,0.24
monster,demon,0.51
dag,ochtend,0.42
man,winnaar,0.23
vriend,jongen,0.54
lied,verhaal,0.41
straal,zonneschijn,0.48
kerel,hengst,0.46
kip,rijst,0.24
doos,lift,0.27
boter,aardappel,0.43
appartement,meubels,0.47
meer,moeras,0.37
sla,azijn,0.2
bloem,bol,0.31
wolk,waas,0.44
chauffeur,piloot,0.43
suiker,honing,0.23
lichaam,schouder,0.5
idee,beeld,0.51
vader,broer,0.48
maan,planeet,0.64
bal,handschoen,0.26
rails,hek,0.26
kamer,bed,0.31
bloem,struik,0.59
botten,knie,0.38
arm,knie,0.31
onderkant,zijkant,0.65
vat,ader,0.36
kat,konijn,0.3
vlees,spek,0.34
geloof,begrip,0.54
