word1,word2,similarity_score
old,new,0.51
smart,intelligent,0.57
hard,difficult,0.58
happy,cheerful,0.6
hard,easy,0.45
fast,rapid,0.65
happy,glad,0.61
short,long,0.54
stupid,dumb,0.7
weird,strange,0.79
wide,narrow,0.41
bad,awful,0.55
easy,difficult,0.48
bad,terrible,0.53
hard,simple,0.34
smart,dumb,0.4
insane,crazy,0.73
happy,mad,0.45
large,huge,0.76
hard,tough,0.62
new,fresh,0.59
sharp,dull,0.41
quick,rapid,0.69
dumb,foolish,0.52
wonderful,terrific,0.6
strange,odd,0.52
happy,angry,0.42
narrow,broad,0.54
simple,easy,0.71
old,fresh,0.37
apparent,obvious,0.69
inexpensive,cheap,0.58
nice,generous,0.35
weird,normal,0.36
weird,odd,0.51
bad,immoral,0.43
sad,funny,0.42
wonderful,great,0.55
guilty,ashamed,0.54
beautiful,wonderful,0.54
confident,sure,0.35
dumb,dense,0.36
large,big,0.72
nice,cruel,0.28
impatient,anxious,0.51
big,broad,0.48
strong,proud,0.41
unnecessary,necessary,0.56
restless,young,0.31
dumb,intelligent,0.41
bad,great,0.43
difficult,simple,0.36
necessary,important,0.6
bad,terrific,0.41
mad,glad,0.36
honest,guilty,0.4
easy,tough,0.41
easy,flexible,0.44
certain,sure,0.44
essential,necessary,0.75
different,normal,0.4
sly,clever,0.56
crucial,important,0.58
harsh,cruel,0.47
childish,foolish,0.54
scarce,rare,0.57
friendly,generous,0.42
fragile,frigid,0.4
long,narrow,0.39
big,heavy,0.53
rough,frigid,0.33
bizarre,strange,0.74
illegal,immoral,0.57
bad,guilty,0.41
modern,ancient,0.44
new,ancient,0.38
dull,funny,0.3
happy,young,0.47
easy,big,0.37
great,awful,0.31
tiny,huge,0.51
polite,proper,0.5
modest,ashamed,0.51
exotic,rare,0.53
dumb,clever,0.4
delightful,wonderful,0.68
noticeable,obvious,0.62
afraid,anxious,0.6
formal,proper,0.51
dreary,dull,0.64
delightful,cheerful,0.63
unhappy,mad,0.31
sad,terrible,0.37
sick,crazy,0.52
violent,angry,0.48
laden,heavy,0.38
dirty,cheap,0.5
elastic,flexible,0.45
hard,dense,0.53
recent,new,0.67
bold,proud,0.33
sly,strange,0.36
strange,sly,0.36
dumb,rare,0.32
sly,tough,0.4
terrific,mad,0.26
modest,flexible,0.36
fresh,wide,0.26
huge,dumb,0.35
large,flexible,0.35
dirty,narrow,0.29
wife,husband,0.65
book,text,0.39
groom,bride,0.55
night,day,0.56
south,north,0.71
plane,airport,0.53
uncle,aunt,0.74
horse,mare,0.41
bottom,top,0.74
friend,buddy,0.51
student,pupil,0.49
world,globe,0.5
leg,arm,0.47
plane,jet,0.54
woman,man,0.71
horse,colt,0.46
actress,actor,0.62
teacher,instructor,0.58
movie,film,0.81
bird,hawk,0.61
word,dictionary,0.56
money,salary,0.51
dog,cat,0.6
area,region,0.71
navy,army,0.43
book,literature,0.44
clothes,closet,0.5
sunset,sunrise,0.75
child,adult,0.51
cow,cattle,0.52
book,story,0.38
winter,summer,0.55
taxi,cab,0.53
tree,maple,0.33
bed,bedroom,0.63
roof,ceiling,0.47
disease,infection,0.58
arm,shoulder,0.42
sheep,lamb,0.6
lady,gentleman,0.53
boat,anchor,0.48
priest,monk,0.52
toe,finger,0.46
river,stream,0.5
anger,fury,0.41
date,calendar,0.56
sea,ocean,0.46
second,minute,0.62
hand,thumb,0.59
wood,log,0.34
mud,dirt,0.64
hallway,corridor,0.62
way,manner,0.43
mouse,cat,0.49
cop,sheriff,0.36
death,burial,0.43
music,melody,0.5
beer,alcohol,0.49
mouth,lip,0.54
storm,hurricane,0.54
tax,income,0.61
flower,violet,0.36
paper,cardboard,0.56
floor,ceiling,0.48
beach,seashore,0.56
rod,curtain,0.3
hound,fox,0.45
street,alley,0.62
boat,deck,0.44
car,horn,0.4
friend,guest,0.46
employer,employee,0.68
hand,wrist,0.52
ball,cannon,0.3
alcohol,brandy,0.29
victory,triumph,0.64
telephone,booth,0.33
door,doorway,0.66
motel,inn,0.29
clothes,cloth,0.61
steak,meat,0.53
nail,thumb,0.52
band,orchestra,0.43
book,bible,0.49
business,industry,0.54
winter,season,0.66
decade,century,0.68
alcohol,gin,0.3
hat,coat,0.43
window,door,0.52
arm,wrist,0.38
house,apartment,0.5
glass,crystal,0.44
wine,brandy,0.33
creator,maker,0.61
dinner,breakfast,0.58
arm,muscle,0.39
bubble,suds,0.39
bread,flour,0.51
death,tragedy,0.46
absence,presence,0.46
gun,cannon,0.45
grass,blade,0.26
ball,basket,0.55
hose,garden,0.31
boy,kid,0.62
church,choir,0.39
clothes,drawer,0.34
tower,bell,0.45
father,parent,0.68
school,grade,0.5
parent,adult,0.57
bar,jail,0.34
car,highway,0.36
dictionary,definition,0.54
door,cellar,0.39
army,legion,0.41
metal,aluminum,0.5
chair,bench,0.49
cloud,fog,0.48
boy,son,0.49
water,ice,0.39
bed,blanket,0.45
attorney,lawyer,0.74
area,zone,0.61
business,company,0.59
clothes,fabric,0.52
sweater,jacket,0.57
money,capital,0.48
hand,foot,0.5
alcohol,cocktail,0.34
yard,inch,0.22
molecule,atom,0.46
lens,camera,0.51
meal,dinner,0.5
eye,tear,0.43
god,devil,0.45
loop,belt,0.3
rat,mouse,0.42
motor,engine,0.61
car,cab,0.63
cat,lion,0.51
size,magnitude,0.57
reality,fantasy,0.45
door,gate,0.58
cat,pet,0.59
tin,aluminum,0.39
bone,jaw,0.52
cereal,wheat,0.55
house,key,0.31
blood,flesh,0.37
door,corridor,0.41
god,spirit,0.49
capability,competence,0.58
abundance,plenty,0.62
sofa,chair,0.49
wall,brick,0.46
horn,drum,0.35
organ,liver,0.42
strength,might,0.35
phrase,word,0.49
band,parade,0.36
stomach,waist,0.45
cloud,storm,0.51
joy,pride,0.49
noise,rattle,0.5
rain,mist,0.39
beer,beverage,0.51
man,uncle,0.4
apple,juice,0.37
intelligence,logic,0.42
communication,language,0.48
mink,fur,0.35
mob,crowd,0.44
shore,coast,0.49
wire,cord,0.5
bird,turkey,0.37
bed,crib,0.47
competence,ability,0.44
cloud,haze,0.42
supper,meal,0.43
bar,cage,0.41
water,salt,0.37
sense,intuition,0.49
situation,condition,0.54
crime,theft,0.49
style,fashion,0.6
boundary,border,0.76
arm,body,0.49
boat,car,0.51
sandwich,lunch,0.5
bride,princess,0.51
heroine,hero,0.65
car,gauge,0.3
insect,bee,0.44
crib,cradle,0.67
animal,person,0.55
marijuana,herb,0.38
bed,hospital,0.46
cheek,tongue,0.48
disc,computer,0.38
curve,angle,0.55
grass,moss,0.4
school,law,0.32
foot,head,0.58
mother,guardian,0.31
orthodontist,dentist,0.7
alcohol,whiskey,0.54
mouth,tooth,0.43
breakfast,bacon,0.39
bathroom,bedroom,0.62
plate,bowl,0.41
meat,bacon,0.48
air,helium,0.36
worker,employer,0.64
body,chest,0.48
son,father,0.47
heart,surgery,0.23
woman,secretary,0.34
man,father,0.5
beach,island,0.43
story,topic,0.48
game,fun,0.54
weekend,week,0.6
couple,pair,0.54
woman,wife,0.58
sheep,cattle,0.65
purse,bag,0.48
ceiling,cathedral,0.37
bean,coffee,0.41
wood,paper,0.52
top,side,0.54
crime,fraud,0.49
pain,harm,0.39
lover,companion,0.45
evening,dusk,0.53
father,daughter,0.63
wine,liquor,0.48
cow,goat,0.44
belief,opinion,0.45
reality,illusion,0.38
pact,agreement,0.57
wealth,poverty,0.44
accident,emergency,0.44
battle,conquest,0.5
friend,teacher,0.33
illness,infection,0.57
game,trick,0.41
brother,son,0.42
aunt,nephew,0.57
worker,mechanic,0.45
doctor,orthodontist,0.47
oak,maple,0.51
bee,queen,0.36
car,bicycle,0.44
goal,quest,0.49
august,month,0.44
army,squad,0.39
cloud,weather,0.44
physician,doctor,0.56
canyon,valley,0.57
river,valley,0.5
sun,sky,0.54
target,arrow,0.42
chocolate,pie,0.28
circumstance,situation,0.7
opinion,choice,0.41
rhythm,melody,0.53
gut,nerve,0.43
day,dawn,0.47
cattle,beef,0.62
doctor,professor,0.47
arm,vein,0.23
room,bath,0.47
corporation,business,0.49
fun,football,0.45
hill,cliff,0.48
bone,ankle,0.45
apple,candy,0.37
helper,maid,0.43
leader,manager,0.56
lemon,tea,0.38
bee,ant,0.3
basketball,baseball,0.62
rice,bean,0.48
bed,furniture,0.41
emotion,passion,0.46
anarchy,chaos,0.65
crime,violation,0.49
machine,engine,0.6
beach,sea,0.41
alley,bowl,0.37
jar,bottle,0.4
strength,capability,0.5
seed,mustard,0.47
guitar,drum,0.5
opinion,idea,0.38
north,west,0.61
diet,salad,0.4
mother,wife,0.6
dad,mother,0.62
captain,sailor,0.48
meter,yard,0.28
beer,champagne,0.44
motor,boat,0.46
card,bridge,0.41
science,psychology,0.47
sinner,saint,0.51
destruction,construction,0.39
crowd,bunch,0.45
beach,reef,0.35
man,child,0.45
bread,cheese,0.44
champion,winner,0.56
celebration,ceremony,0.65
menu,order,0.47
king,princess,0.37
wealth,prestige,0.46
endurance,strength,0.42
danger,threat,0.68
god,priest,0.33
men,fraternity,0.3
buddy,companion,0.63
teacher,helper,0.49
body,stomach,0.38
tongue,throat,0.44
house,carpet,0.37
intelligence,skill,0.43
journey,conquest,0.35
god,prey,0.28
brother,soul,0.3
adversary,opponent,0.65
death,catastrophe,0.43
monster,demon,0.46
day,morning,0.48
man,victor,0.39
friend,guy,0.47
song,story,0.44
ray,sunshine,0.36
guy,stud,0.36
chicken,rice,0.36
box,elevator,0.24
butter,potato,0.38
apartment,furniture,0.4
lake,swamp,0.39
salad,vinegar,0.3
flower,bulb,0.37
cloud,mist,0.37
driver,pilot,0.48
sugar,honey,0.56
body,shoulder,0.32
idea,image,0.44
father,brother,0.44
moon,planet,0.48
ball,costume,0.25
rail,fence,0.42
room,bed,0.53
flower,bush,0.26
bone,knee,0.46
arm,knee,0.36
bottom,side,0.65
vessel,vein,0.69
cat,rabbit,0.52
meat,sandwich,0.37
belief,concept,0.49
intelligence,insight,0.45
attention,interest,0.48
attitude,confidence,0.33
right,justice,0.45
argument,agreement,0.44
depth,magnitude,0.37
medium,news,0.27
winner,candidate,0.61
birthday,date,0.51
fee,payment,0.59
bible,hymn,0.44
exit,doorway,0.43
man,sentry,0.29
aisle,hall,0.38
whiskey,gin,0.26
blood,marrow,0.39
oil,mink,0.29
floor,deck,0.58
roof,floor,0.57
door,floor,0.5
shoulder,head,0.44
wagon,carriage,0.49
car,carriage,0.53
elbow,ankle,0.42
wealth,fame,0.44
sorrow,shame,0.53
administration,management,0.77
communication,conversation,0.64
pollution,atmosphere,0.4
anatomy,biology,0.48
college,profession,0.4
book,topic,0.33
formula,equation,0.6
book,information,0.36
boy,partner,0.42
sky,universe,0.37
population,people,0.62
college,class,0.47
chief,mayor,0.45
rabbi,minister,0.35
meter,inch,0.53
polyester,cotton,0.47
lawyer,banker,0.42
violin,instrument,0.41
camp,cabin,0.51
pot,appliance,0.35
linen,fabric,0.55
whiskey,champagne,0.41
girl,child,0.57
cottage,cabin,0.66
bird,hen,0.45
racket,noise,0.4
sunset,evening,0.5
drizzle,rain,0.56
adult,baby,0.49
charcoal,coal,0.59
body,spine,0.36
head,nail,0.34
log,timber,0.28
spoon,cup,0.38
body,nerve,0.31
man,husband,0.49
bone,neck,0.48
frustration,anger,0.32
river,sea,0.5
task,job,0.66
club,society,0.38
reflection,image,0.45
prince,king,0.52
snow,weather,0.52
people,party,0.53
boy,brother,0.46
root,grass,0.39
brow,eye,0.42
money,pearl,0.33
money,diamond,0.39
vehicle,bus,0.56
cab,bus,0.62
house,barn,0.44
finger,palm,0.47
car,bridge,0.48
effort,difficulty,0.44
fact,insight,0.26
job,management,0.37
cancer,sickness,0.43
word,newspaper,0.38
composer,writer,0.68
actor,singer,0.44
shelter,hut,0.42
bathroom,kitchen,0.59
cabin,hut,0.51
door,kitchen,0.41
value,belief,0.41
wisdom,intelligence,0.44
ignorance,intelligence,0.32
happiness,luck,0.38
idea,scheme,0.57
mood,emotion,0.57
happiness,peace,0.42
despair,misery,0.65
logic,arithmetic,0.4
denial,confession,0.47
argument,criticism,0.46
aggression,hostility,0.59
hysteria,confusion,0.41
chemistry,theory,0.47
trial,verdict,0.49
comfort,safety,0.45
confidence,self,0.34
vision,perception,0.43
era,decade,0.31
biography,fiction,0.43
discussion,argument,0.55
code,symbol,0.55
danger,disease,0.4
accident,catastrophe,0.54
journey,trip,0.47
activity,movement,0.59
gossip,news,0.41
father,god,0.44
action,course,0.41
fever,illness,0.38
aviation,flight,0.48
game,action,0.51
molecule,air,0.27
home,state,0.32
word,literature,0.38
adult,guardian,0.3
newspaper,information,0.32
communication,television,0.37
cousin,uncle,0.63
author,reader,0.42
guy,partner,0.38
area,corner,0.44
ballad,song,0.51
wall,decoration,0.3
word,page,0.33
nurse,scientist,0.37
politician,president,0.47
president,mayor,0.51
book,essay,0.44
man,warrior,0.37
article,journal,0.54
breakfast,supper,0.47
crowd,parade,0.44
aisle,hallway,0.37
teacher,rabbi,0.31
hip,lip,0.47
book,article,0.45
room,cell,0.44
box,booth,0.49
daughter,kid,0.56
limb,leg,0.56
liver,lung,0.52
classroom,hallway,0.44
mountain,ledge,0.3
car,elevator,0.36
bed,couch,0.5
clothes,button,0.28
clothes,coat,0.55
kidney,organ,0.4
apple,sauce,0.29
chicken,steak,0.41
car,hose,0.34
tobacco,cigarette,0.62
student,professor,0.43
baby,daughter,0.59
pipe,cigar,0.42
milk,juice,0.44
box,cigar,0.33
apartment,hotel,0.48
cup,cone,0.56
horse,ox,0.34
throat,nose,0.39
bone,teeth,0.39
bone,elbow,0.34
bacon,bean,0.43
cup,jar,0.4
proof,fact,0.5
appointment,engagement,0.42
birthday,year,0.48
word,clue,0.31
author,creator,0.55
atom,carbon,0.52
archbishop,bishop,0.68
letter,paragraph,0.53
page,paragraph,0.49
steeple,chapel,0.45
muscle,bone,0.46
muscle,tongue,0.33
boy,soldier,0.38
belly,abdomen,0.69
guy,girl,0.57
bed,chair,0.57
clothes,jacket,0.49
gun,knife,0.53
tin,metal,0.55
bottle,container,0.44
hen,turkey,0.34
meat,bread,0.4
arm,bone,0.42
neck,spine,0.4
apple,lemon,0.39
agony,grief,0.59
assignment,task,0.64
night,dawn,0.49
dinner,soup,0.41
calf,bull,0.28
snow,storm,0.59
nail,hand,0.39
dog,horse,0.67
arm,neck,0.46
ball,glove,0.37
flu,fever,0.45
fee,salary,0.56
nerve,brain,0.46
beast,animal,0.52
dinner,chicken,0.46
girl,maid,0.53
child,boy,0.57
alcohol,wine,0.47
nose,mouth,0.49
street,car,0.5
bell,door,0.32
box,hat,0.4
belief,impression,0.38
bias,opinion,0.36
attention,awareness,0.52
anger,mood,0.35
elegance,style,0.46
beauty,age,0.32
book,theme,0.29
friend,mother,0.37
vitamin,iron,0.38
car,factory,0.42
pact,condition,0.32
chapter,choice,0.37
arithmetic,rhythm,0.4
winner,presence,0.28
belief,flower,0.21
winner,goal,0.35
trick,size,0.21
choice,vein,0.26
hymn,conquest,0.23
endurance,band,0.26
jail,choice,0.23
condition,boy,0.32
flower,endurance,0.15
hole,agreement,0.29
doctor,temper,0.22
fraternity,door,0.19
task,woman,0.34
fraternity,baseball,0.25
cent,size,0.44
presence,door,0.37
mouse,management,0.37
task,highway,0.28
liquor,century,0.14
task,straw,0.26
island,task,0.29
night,chapter,0.37
pollution,president,0.2
gun,trick,0.29
bath,trick,0.28
diet,apple,0.25
cent,wife,0.12
chapter,tail,0.33
course,stomach,0.28
hymn,straw,0.21
dentist,colonel,0.28
wife,straw,0.26
hole,wife,0.38
pupil,president,0.23
bath,wife,0.3
people,cent,0.4
formula,log,0.41
woman,fur,0.36
apple,sunshine,0.27
gun,dawn,0.23
meal,waist,0.24
camera,president,0.28
liquor,band,0.24
stomach,vein,0.34
gun,fur,0.39
couch,baseball,0.21
worker,camera,0.23
deck,mouse,0.28
rice,boy,0.25
people,gun,0.34
cliff,tail,0.38
ankle,window,0.25
princess,island,0.32
container,mouse,0.34
wagon,container,0.43
people,balloon,0.25
dollar,people,0.32
bath,balloon,0.34
stomach,bedroom,0.28
bicycle,bedroom,0.31
log,bath,0.3
bowl,tail,0.31
go,come,0.57
take,steal,0.43
listen,hear,0.69
think,rationalize,0.39
occur,happen,0.72
vanish,disappear,0.8
multiply,divide,0.53
plead,beg,0.42
begin,originate,0.5
protect,defend,0.6
kill,destroy,0.5
create,make,0.66
accept,reject,0.65
ignore,avoid,0.71
carry,bring,0.71
leave,enter,0.39
choose,elect,0.66
lose,fail,0.41
encourage,discourage,0.63
achieve,accomplish,0.83
make,construct,0.68
listen,obey,0.4
inform,notify,0.68
receive,give,0.63
borrow,beg,0.41
take,obtain,0.5
