word1,word2,similarity_score
oud,nieuw,0.3
slim,intelligent,0.27
hard,moeilijk,0.47
gelukkig,vrolijk,0.57
hard,stoer,0.24
snel,razendsnel,0.72
gelukkig,blij,0.71
kort,lang,0.35
dom,stom,0.35
vreemd,eigenaardig,0.7
breed,smal,0.23
makkelijk,moeilijk,0.66
moeilijk,gemakkelijk,0.63
slim,dom,0.28
krankzinnig,gek,0.4
gelukkig,kwaad,0.38
uitgebreid,groot,0.53
moeilijk,simpel,0.37
nieuw,vers,0.31
scherp,saai,0.3
vlug,snel,0.41
dom,dwaas,0.28
prachtig,fantastisch,0.65
eigenaardig,vreemd,0.7
gelukkig,boos,0.17
smal,breed,0.23
eenvoudig,gemakkelijk,0.73
oud,vers,0.41
kennelijk,duidelijk,0.62
betaalbaar,goedkoop,0.57
leuk,grootmoedig,0.27
raar,vreemd,0.41
vreemd,normaal,0.52
slecht,immoreel,0.42
verdrietig,grappig,0.5
prachtig,geweldig,0.74
schuldig,beschaamd,0.53
mooi,prachtig,0.68
zelfverzekerd,zeker,0.65
dom,onderontwikkeld,0.17
groot,flexibel,0.39
aardig,wreed,0.24
ongeduldig,nerveus,0.38
groot,breed,0.29
sterk,trots,0.23
onnodig,noodzakelijk,0.6
onrustig,jong,0.23
dom,intelligent,0.2
slecht,geweldig,0.45
moeilijk,eenvoudig,0.57
noodzakelijk,belangrijk,0.61
slecht,verschrikkelijk,0.57
boos,blij,0.2
eerlijk,schuldig,0.45
makkelijk,zwaar,0.52
makkelijk,flexibel,0.53
stellig,zeker,0.32
essentieel,noodzakelijk,0.74
anders,normaal,0.21
sluw,slim,0.51
cruciaal,belangrijk,0.54
hard,wreed,0.29
kinderachtig,dwaas,0.5
zelden,zeldzaam,0.63
vriendelijk,vrijgevig,0.56
breekbaar,kil,0.17
lang,smal,0.28
groot,zwaar,0.49
ruw,koel,0.26
bizar,vreemd,0.5
illegaal,immoreel,0.49
slecht,schuldig,0.48
modern,oud,0.35
nieuw,oud,0.3
saai,grappig,0.25
gelukkig,jong,0.3
makkelijk,groot,0.44
geweldig,vreselijk,0.64
klein,enorm,0.23
beleefd,gepast,0.38
bescheiden,beschaamd,0.55
exotisch,zeldzaam,0.53
dom,slim,0.28
heerlijk,prachtig,0.65
opvallend,duidelijk,0.6
angstig,bang,0.26
formeel,juist,0.46
somber,saai,0.24
heerlijk,vrolijk,0.55
ongelukkig,kwaad,0.43
verdrietig,vreselijk,0.5
ziek,gek,0.53
gewelddadig,boos,0.19
beladen,zwaar,0.56
vuil,goedkoop,0.46
elastisch,flexibel,0.64
hard,dicht,0.29
onlangs,nieuw,0.57
brutaal,trots,0.19
sluw,vreemd,0.46
vreemd,sluw,0.46
dom,zeldzaam,0.21
sluw,koppig,0.37
fantastisch,kwaad,0.34
bescheiden,flexibel,0.45
vers,breed,0.32
enorm,sprakeloos,0.21
groot,enorm,0.44
vuil,smal,0.35
echtgenote,echtgenoot,0.85
boek,tekst,0.38
bruidegom,bruid,0.74
nacht,dag,0.38
zuid,noord,0.73
vliegtuig,luchthaven,0.52
oom,tante,0.35
paard,merrie,0.29
onderkant,bovenkant,0.74
vriend,maat,0.43
student,leerling,0.51
wereld,wereldbol,0.73
been,arm,0.37
vliegtuig,straalvliegtuig,0.78
vrouw,man,0.38
paard,veulen,0.46
actrice,acteur,0.87
leraar,instructeur,0.64
film,filmrol,0.6
vogel,havik,0.42
woord,woordenboek,0.5
geld,salaris,0.43
hond,kat,0.27
gebied,regio,0.63
marine,leger,0.27
boek,literatuur,0.6
kleding,kast,0.41
zonsondergang,zonsopgang,0.76
kind,volwassen,0.3
koe,vee,0.37
boek,verhaal,0.49
winter,zomer,0.55
taxi,taxis,0.83
boom,esdoorn,0.29
bed,slaapkamer,0.51
dak,plafond,0.32
ziekte,infectie,0.59
arm,schouder,0.33
schaap,lam,0.24
dame,meneer,0.36
boot,anker,0.43
priester,monnik,0.63
teen,vinger,0.32
rivier,stroom,0.47
boosheid,woede,0.41
datum,kalender,0.41
zee,oceaan,0.32
seconde,minuut,0.51
hand,duim,0.36
hout,stam,0.4
modder,vuil,0.33
hal,gang,0.36
weg,manier,0.44
muis,kat,0.25
politieagent,sheriff,0.36
dood,begrafenis,0.54
muziek,melodie,0.49
bier,alcohol,0.48
mond,lip,0.26
storm,orkaan,0.24
belasting,inkomen,0.57
bloem,viooltjes,0.45
papier,karton,0.54
vloer,plafond,0.59
strand,kust,0.44
staaf,gordijn,0.43
jachthond,vos,0.22
straat,auto,0.25
boot,dek,0.4
auto,toeter,0.31
vriend,gast,0.44
werkgever,werknemer,0.73
hand,pols,0.37
bal,kostuum,0.25
alcohol,brandewijn,0.25
overwinning,zege,0.29
telefoon,cel,0.34
deur,ingang,0.37
motel,herberg,0.58
kleding,stof,0.47
steak,vlees,0.43
nagel,duim,0.36
muziekgroep,orkest,0.56
boek,bijbel,0.64
bedrijf,industrie,0.58
winter,seizoen,0.42
decennium,eeuw,0.59
alcohol,jenever,0.45
hoed,jas,0.23
raam,deur,0.44
arm,pols,0.36
huis,appartement,0.59
glas,kristal,0.37
wijn,brandewijn,0.51
maker,producent,0.47
diner,ontbijt,0.48
arm,spier,0.3
